Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,,,58,656.33,67.09,11.2,140.73,18,827.34,89.81,92.35,32.22,4.99,66.21,4.86,65,54.36
2,4.16,,14.3,25.85,16.83,6.44,345.98,32,357.54,2.23,122.53,40.27,4.29,175.55,5.34,548.9,46.38
3,53.93,,31.25,715.17,51.67,52.6,45.29,15,602.83,20,110.8,75.77,10,57.05,7.97,13.5,36.89
4,2.88,,172.17,1905.39,524.16,18.47,41.4,30,1795.44,29,56.75,53.82,200.53,97.32,38.38,7.2,43.59
5,,,73,934.66,69.74,50.34,159.02,143,895.2,17.99,57.7,119.08,19.45,47.42,5.58,63.29,14.02
6,59.65,,35.73,19,24.75,0.8,324.22,24,379.45,8,77.8,88.46,7.12,71.75,77,506,21.22
7,289.78,,63.93,789.3,89.69,94,72.28,60,474.24,6.8,167.2,129.63,12.12,118.93,4.94,286.9,18.97
8,171.49,,154.29,2252.53,621.75,78.68,39.9,30,1306.5,11.5,38.35,525.05,51.36,94.63,28.06,16.34,12.46
9,6.96,,154.5,965.93,44.66,107.2,97.72,161,498.76,24,58.08,109.15,7.96,47.66,14.65,55.38,15.75
10,76.15,,24.59,0.92,114.73,76.25,307.85,35.21,486.43,11.23,53.68,36.53,14.48,19.26,122.42,25.44,19.11
11,358.73,,69.55,275.2,68.56,211.83,73.56,65.07,524.62,6.05,15.16,77.58,15.95,109.07,53.16,17.43,18.35
12,206.97,,149.14,1273.72,440.72,52.96,66.9,60.06,1341.65,5.57,25.16,158.87,56.78,154.99,27.47,4.25,11.31
13,16.57,,215.98,2234.11,224.44,885,91.2,125.83,817.96,31.47,49.84,77.77,8.82,20.46,32.69,48.75,9.74
14,45.91,,35.52,1016.06,310.02,3.95,259.88,187.63,511.21,21.84,53.1,134.75,17,44.23,9.95,47.58,50.29
15,272.56,,74.17,219.31,105.5,12,488.17,170.28,473.56,11.98,5.27,65.4,36,108.54,35.08,27.88,20.85
16,76.84,,194.74,699.82,323.45,14.73,5.48,177.45,1236.55,6.45,5.31,122.88,112.58,65.84,19.5,7.04,9.55
17,1.5,,69.69,2278.19,19.99,0.3,141.17,199.2,745.04,36.1,5.32,173.08,31.94,13.2,31.23,84.81,5.27
18,46.25,,10.73,1726.73,321.42,1.81,201,203.92,834.85,10.29,52.83,42.77,50.46,27.4,28.64,66.53,192.53
19,142.92,,236.77,253.53,65.3,25.19,45.22,188.73,412.8,10.67,8.01,23.4,51.37,87.59,32.08,30.33,25.2
20,178.5,,108.37,644.56,93.47,26.98,7.25,233.76,964.31,4.2,12.25,36.45,118.68,10.84,43.31,6.5,8.22
21,1.8,,56.38,1803.45,150.26,16.29,7.69,775.1,1078.27,41.16,10.21,31.7,92.16,9.53,19.59,99.36,3.3
22,75.67,,8.01,0.4,246.2,0.62,2.22,578.43,559.73,11.77,190,24.89,35.72,13.05,30.06,58.65,220.82
23,169.85,,47.97,313.8,165.73,45.67,29.92,229.8,519.04,16.99,495.1,9.93,51.55,64.23,34.35,44.19,79.59
24,42.17,,101.16,537.58,149.82,13.69,8.05,223.61,1137.35,5.85,396.66,453.54,143.85,17.07,43.29,11.56,9.77
25,1.17,,92.29,1050.53,156.45,13.8,7.04,664.83,1270.53,41.95,13.73,816.12,27.97,31.89,42.83,26.03,3.3
26,80.23,,8.33,2096.85,135.17,,2.07,590.83,541.92,7.79,359.77,26.69,34.33,24.63,42.03,64.09,111.18
27,145.97,,43.47,199.35,215.7,34.34,6.48,235.55,1262.36,23.06,340.92,219.44,29.68,20.86,44.07,36.38,88.41
