Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,66.88,,33.34,14.11,327.7,64.09,316.48,734.32,2832.15,122.08,2102.56,96.74,136.52,7.88,37.43,15.5,61.59
2,97.16,,101.69,8.38,161.5,148.72,1291.68,1101,3654.43,116.17,2611.52,169.9,199.85,47.52,21.81,40.61,68.93
3,172.74,,56.72,5.68,271.71,224.7,733.69,943,4195.93,146.34,1722.02,369.59,124.99,30.75,30.97,66.93,92.61
4,134.02,,135.72,2.27,323.77,116.71,752.57,999.58,3677.47,190.35,1376.35,464.97,174.46,17.3,27.54,159.97,89.07
5,69,,37,0.43,348.92,111.3,343.24,513.16,2231.78,167.03,1947.3,161.08,277.03,17.39,38.85,29.15,120.52
6,60.61,,50.76,9.82,186.64,117.4,1073.62,831.93,2885.59,163.56,1596.73,208.51,240.98,17.26,46.21,41.9,90.5
7,108.47,,60.27,5.77,295.31,240.02,1080.45,852,3426.35,432.64,1734.9,137.5,224.57,19.06,19.46,93,55.41
8,121.36,,66.52,5.14,352.01,134.12,808.21,1276.97,3201.28,399.16,1304.48,403.75,172.78,12.03,29.16,88.57,80.7
9,113.13,,61.92,1.29,468.38,169.12,433.98,735.28,1396.89,463.39,1981.24,290.88,218.68,18.4,22.41,143.17,123.01
10,76.67,,73.94,11.94,270.64,246.1,1151.64,1218.62,2884.24,330.01,1954.63,253.88,277.99,35.19,15.49,17.66,78.17
11,71.87,,70.93,7.39,302.1,267.69,1150.79,1818.58,2786.73,427.53,1663.13,235.02,265.66,32.59,16.75,23.81,93.23
12,59.06,,59.8,14.64,425.98,162.2,1089.72,1704.98,3263.91,84.2,1292.56,331.67,257.66,32.71,14.54,56.04,172.39
13,55.95,,40.76,3.17,491.62,169.74,458.35,685.54,2716.72,401.39,1380.47,402.69,299.03,35.94,5.59,182.89,144.4
14,62.83,,44.84,12.73,313.94,356.55,1165.22,1169.48,2741.48,375.71,1531.59,375.55,306.41,64.92,5.91,11.83,156.81
15,60.57,,52.39,11.83,320.77,275.62,1875.73,1390.51,2618.64,434.62,1888.66,284.3,183.49,34.22,15.1,45.59,144.67
16,66.75,,82.05,113.38,234.93,125.89,1205.44,1621.78,3046.19,351.51,408.75,277.16,291.97,57.46,14.34,108.26,191.25
17,146.8,,40.79,5.17,475.41,114.89,732.85,715.56,2736.9,391,1696.11,354.98,117.75,48.79,5.17,50.46,131.27
18,61,,24.82,13.03,298.55,208.66,902.43,969.73,5008.15,374.96,492.93,573.19,99.88,14.65,6.26,14.05,18.43
19,52.9,,24.72,7.1,261.88,455.14,1494.81,1168.18,1592.54,447.76,1068.16,273.48,131.24,10.15,14.86,13.23,96.94
20,33.12,,26.07,63,247.44,172.48,879.12,1387.13,1709.06,391.8,651.22,286.48,241.41,11.02,13.13,33.22,175.69
21,159.72,,23.74,4.17,442.37,345.36,745.44,1288.69,1761.05,280.64,1031.32,238.84,170.54,11.63,5.77,34.37,95.47
22,87.09,,28.49,15.93,286.25,244.26,486.57,1361.12,5158.51,339.23,846.33,449.31,107.92,14.47,12.06,19.96,20.51
23,129.35,,38.71,11.29,265.53,409.37,1155.07,1325.16,1703.11,432.9,1060.1,407.38,130.51,13.73,17.61,23.62,119.32
24,59.26,,49.25,71.91,213.83,471.1,1011.51,1382.27,1629.1,381.74,710.78,193.24,272.73,51.33,13.22,28.68,129.74
25,137.45,,27.01,3.3,426.11,356.93,756.85,1067.9,1513.87,301.78,916.18,224.88,122.85,11.03,8.12,25.87,86.89
26,138.23,,27.91,16.88,332.11,544.73,571.42,1216.64,4626.1,305.84,791.45,534.92,106.35,13.48,14.66,30.19,36.41
27,144.28,,46.11,26.37,264.15,634.07,883.71,1156.48,1995.77,435.07,956.93,364.59,102.14,12.2,14,40.26,181.22
28,78.26,,122.73,69.67,212.28,517.12,1228.41,1470.73,1560.36,385.28,534.76,281.72,263.75,12.49,11.78,41.31,154.81
29,133.78,,46.05,3.8,356.57,235.82,675.55,977.14,859.29,255.22,653.48,164.99,138.02,12.61,11.41,38.84,112.6
30,151.14,,31.34,16.55,294.2,386,940.19,1256.89,2389.27,269.45,688.37,370.17,140.35,29.93,8.02,30.62,56.76
31,210.24,,20.69,29.13,235.57,681.27,761.74,887.09,2406.45,326.5,763.76,265.19,124.75,28.56,15.58,35.76,125.89
32,62.01,,27.4,49.76,233.75,427.51,1316.2,1044.57,3054.01,342.19,506.67,275.33,138.77,36.72,13,31.48,141.62
33,186.47,,46.28,2.21,356.86,557.51,895.58,950.88,1602.23,224.91,599.9,206.72,152.97,40.34,4.91,26.54,113.18
34,121.01,,26.95,16.43,324.62,326.57,1199.78,1751.79,2047.47,256.24,679.54,358.09,103.21,54.98,13.69,39.06,56.99
35,115.93,,30.97,26.68,242.58,449.17,882.83,1261.77,2489.47,234.22,794.06,276.58,115.77,11.73,11.54,50.55,130.28
36,85.36,,41.67,44.09,216.73,444.53,737.59,961.17,2156.23,268.52,319.17,320.82,96.07,22.27,13.77,32.48,153.12
37,223.66,,43.01,2.4,348.47,405.28,902.51,1036.57,1244.63,242.74,388.27,171.16,114.1,29.65,7.67,29.77,143.73
38,129.36,,40.91,18.28,356.6,412.66,1849.08,1679.85,2133.03,242.74,636.15,398.21,105.87,45.56,5.49,41.62,72.77
39,206.07,,34.39,25.69,248.31,614.13,1059.83,1423.61,2421.65,179.12,797.76,275.41,135.52,19,10.83,43.49,105.36
40,145.56,,40.06,45.95,221.39,567.39,1038.39,980.93,2200.32,184.33,479.78,258.46,95.91,12.95,16.87,55.27,124.81
41,176.42,,35.64,2.74,326.94,459.84,831.21,948.88,1563.66,249.02,365.02,180.16,102.82,25.21,9.39,35.78,149.63
42,93.32,,40,16.1,303.38,449.69,1224.42,1716.12,2068.6,190.71,681.42,372.52,109.96,17.34,6.79,43.68,95.58
43,131,,37.82,17.15,240.82,544.95,937.64,1304.09,2282.44,151.18,828.54,295.92,140.67,21.17,7.61,52.84,121.06
44,96.63,,42.62,30.99,233.01,328.52,904.31,1618.14,1859.3,138.37,429.14,259.54,103.28,27.99,15.58,42.5,115.06
45,75.74,,67.14,2.38,545.62,220.08,545.25,865.52,2407.06,222.89,540.57,494.71,116.66,17.5,2.65,42.56,110.15
46,118.56,,36.27,10.19,398.18,605.85,773.51,1998.47,2540.53,264.27,717.15,509.53,131.96,18.11,0.99,34.44,134.28
47,208.94,,27.47,14.36,292.66,495.38,654.84,1337.71,2215.85,161.66,746.2,369.55,130.36,9.15,20.8,70.62,119.61
48,84.66,,56.45,21.36,261.09,503.61,849.5,1582.28,2186.19,174.56,469.09,617.96,131.44,37.91,8.6,56.41,131.7
49,121.11,,73.59,2.59,679.67,672.21,595.34,949.35,1906.72,159.39,311.65,273.03,110.1,11.98,3.3,36.87,109.93
50,124.64,,57.92,7.14,406.41,965.41,794.7,1833.28,3224.13,237.01,381.75,499.53,119.05,9.2,2.19,43.23,117.89
51,90.62,,35.57,9.34,709.25,647.14,823.41,1559.43,3382.11,313.41,596.89,614.8,117.93,3.85,6.76,65.42,120.47
52,44.39,,54.27,20.89,345.52,408.44,779.56,1700.95,2509.28,297.05,391.44,464.36,122.38,7.6,10.46,96.9,137.41
53,100.21,,50.33,2.4,1021.4,384.67,663.8,1042.24,1676.57,185.64,373,205.53,102.87,4.43,1.4,28.74,112.14
54,119.69,,141.78,6.74,1060.68,597.05,752.24,1833.4,2757.38,270.21,506.3,415.85,108.33,3.76,0.12,54.51,136.51
55,136.38,,61.46,8.18,383.53,745.34,2941,1741.2,3292.09,187.35,442.78,377.72,121.12,22.4,7.47,58.13,180.39
56,39.06,,338.95,18.96,328.05,341.8,888.82,1549.03,3243.44,312.24,615.13,392.1,130.85,15.46,1.13,104.6,183.52
57,131.94,,91.26,2.28,484.47,415.53,751.05,1166.73,1583.01,127.5,311.3,106.42,95.5,21.53,7.54,46.58,154.36
58,150.77,,146.96,6.61,1711.58,658.34,661.63,1659.7,2002.89,252.31,394.97,338.45,98.35,6.18,2.03,58.55,187.05
59,136.97,,159.79,7.89,403.41,511.1,2977.43,653.18,2340.57,357.5,452.53,388.63,123.65,11.55,3.91,47.96,223.89
60,45.98,,268.39,15.43,589.01,238.24,855.88,2044.75,1520.24,306.03,441.25,253.77,142.01,8.09,2.69,123.85,188.2
61,93.21,,73.85,1.97,627.02,573.25,839.26,1564.17,1498.63,330.33,505.89,204.69,105.16,13.5,0.93,38.32,209.6
62,48.59,,220.44,6.6,1178.62,172.14,685.04,1524.56,2330.34,278.54,486.58,351.2,105.74,15.77,1.06,87.59,187.55
63,37.46,,134.44,9.22,558.09,210.71,2765.35,2170.93,3535.59,222.7,671.51,288.48,126.48,54.03,3.18,67.53,199.73
64,16.36,,282.45,13.41,657.35,120.5,1053.59,426.46,1190.03,288.3,588.17,536.26,133.59,15.35,0.42,113.11,195.72
65,19.28,,180.96,1.96,1088.58,334.15,999.81,1028.22,1592.61,268.56,506.54,199.54,120.25,3.64,0.92,39.52,216.4
66,40.08,,245.7,6.38,2297.33,229.19,516.15,1648.61,2734.48,510.54,500.77,426.12,156.37,3,0.84,28.83,195.68
67,50.75,,128.44,10.17,781.66,174.19,2753.72,854.04,2174.54,428.48,464.67,381.64,144.63,3.35,2.19,21.43,234.69
68,17.83,,324.79,12.44,810.45,139.29,990.3,449.29,2653.65,562.23,634.69,410.12,145.25,8.8,8.5,69.6,230.03
69,24.42,,187.43,2.03,1138.23,119.84,765.14,571,1689.49,224.2,474.01,482.61,133.95,15.7,0.46,32.29,191.54
70,52.61,,137.12,7.87,1459.52,168.86,711.78,863,1445.1,598.45,487.53,328.79,164.6,9.5,0.12,70.68,109.16
