Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,177.22,,130.84,34.37,180.19,1666.47,1139.78,5238.9,1238.9,1564.73,1241.98,1701.72,27.91,191.14,171.91,25.5,3021.86
2,503.4,,109.54,20.25,203.74,1197.5,3602.45,5203,1890.3,1345.02,1266.08,1781.45,26.42,295.17,277.51,30.51,2042.42
3,974.54,,154.77,9.78,199.18,10477.4,1294.69,4049,1889.79,1380.14,764.64,1639.03,594.02,452.61,104.83,26.5,1217.74
4,528.03,,301.74,3,213.48,1414.87,4196.05,4897.2,1512.7,1587.31,1895.54,1879.67,242.54,416.56,197.33,28.85,2173.99
5,224.08,,130.96,30.72,178.08,3000.9,2263.84,4985.97,1456,1301.66,1593.1,1935.85,63.53,335.95,208.28,21.32,3748.08
6,197.21,,151.58,22.28,214.87,1365.37,5869.07,4870.24,1503.78,706.44,1491.95,2383.13,35.78,362.35,400.61,18.1,2633.47
7,261.67,,227.23,10.66,171.78,10911.82,1638.83,3799,1441.93,606.87,960.12,1828.3,25.88,442.71,98.13,20.5,1324.6
8,199.56,,325.02,4,241.21,1308.98,4306.04,5310.42,1413.5,694.87,1743.87,1602.64,337.4,1499.39,233.52,32.23,2362.54
9,174.94,,230.78,32.61,256.01,3487.21,2033.06,4602.18,1564.63,903.87,1726.77,3039.62,63.58,637.91,202.11,35.69,3380.36
10,237.59,,166.18,31.97,253.02,2669.86,5762.61,5129.53,1882.53,1347.65,1569.64,3355.04,10.4,814.55,315.32,30.08,2551.53
11,867.04,,197.6,16.37,199.82,5829.86,1685.17,3871.12,1449.01,1052.99,923.13,1961.4,40.2,659.77,98.54,56.67,1439.71
12,312.72,,379.03,49.1,215.59,1427.89,2374.73,4727.83,1725.39,862.59,1716.43,1625.85,307.61,768.9,112.4,14.42,2533.77
13,22.96,,154.2,34.11,232.5,2633.39,2628.11,4310.23,1668.5,836.89,1993.81,4394.72,95.75,875.92,169.7,174.99,3477.4
14,77.98,,132.8,12.44,246.52,2322.98,6661.49,4984.67,2044.66,1403.14,2251.68,2605.4,64.47,425.3,155.04,34.65,2955.29
15,176.87,,159.66,16.54,198.46,4526.53,3134.61,3252.17,1519.34,892.37,902.81,2093.1,95.17,498.75,125.03,72.63,1586.95
16,263.13,,273.48,3,120.1,2103.25,2851.18,3587.25,1800.11,835.36,1357.92,3390.94,421.41,591.63,69.04,42.23,2753.56
17,96.07,,137.53,123.04,171.23,2608.14,3383.75,3332.29,2032.73,871.54,1685.8,2589.45,87.6,733.54,127.63,347.14,3657.97
18,93.51,,131.24,16.39,178.93,2037.83,6588.61,3277.96,1394.62,896.11,1569.43,2856.17,136.14,251.8,151.95,91.44,4207.09
19,255.26,,229.04,25.84,171.91,4666.02,2695.11,3859.4,1469.17,783.12,918.25,3486.79,97.62,560.88,83.47,101.08,1737.45
20,274.24,,102.05,60.22,116.37,2091.31,3786.65,2000.58,1568.61,843.68,1040.36,3182.36,245.1,605.04,109.76,46.24,2807.11
21,124.33,,118.48,184.23,131.44,2683.38,3592.81,2212.79,1305.95,829.86,1847.13,2684.62,117.55,603.12,119.34,285.96,3358.48
22,365.03,,133.69,61.75,135.18,4877.28,4223.32,3306.79,1228.76,1222.43,1635.57,3451.74,1023.46,359.27,205.87,324.03,4504.85
23,517.38,,131.04,43.24,152.46,4696.67,2771.12,3756.86,1362.57,847.65,1292.26,4354.41,173.66,498.55,107.01,172,1892.04
24,439.44,,109.47,67.48,135.63,2955.95,3980.35,2092.42,1857.26,911.49,1397.29,3972.77,285.84,448.16,116.75,98.11,2961.75
25,166.02,,104.19,171.91,134.91,2413.78,3256.71,2017.48,1806.48,826.27,2057.31,1760.89,47.68,847.07,97.63,195.55,3205.83
26,164.23,,102.06,49.21,138.16,3840.48,4221.94,3545.47,1468.96,1006.24,1531.75,2799.45,236.19,626.5,174.19,298.13,4443.97
27,255,,124.01,44.3,136.54,4080.6,2528.08,3548.78,1564.39,805.04,1338.44,2747.59,155.49,609.62,104.18,230.92,2050.67
28,390.4,,144.76,66.34,137.17,2564.25,3614.28,2858.72,1910.4,975.03,1132.28,2717.39,322.53,464.76,68.89,126.56,2737.16
29,106.84,,62.07,151.26,153.63,2145.27,2748.75,1864.27,1458.49,798.92,1660.59,2932.27,81.36,313.7,68.41,216.58,3253.15
30,80.98,,105.54,52.73,167.76,3672.47,3024.32,3179.06,1550.23,922.21,2062.18,2940.1,279.05,600.24,158.42,301.92,4336.14
31,153.94,,32.18,53.28,126.94,3140.1,3235.47,3572.03,1312.46,672.48,1422.88,2793.01,159.51,417.1,60,180.62,2146.74
32,313.14,,69.81,53.14,138.37,2659.67,2422.42,2429.07,1249.73,853.19,1170.43,2939.53,333.07,403.94,55.75,200.52,2579.69
33,107.95,,123.53,144.06,161.52,4128.54,2803.31,1557,1169.35,946.36,1241.03,6329.53,173.68,184,61.2,221.84,3278.41
34,334.45,,56.2,128.59,166.65,3827.99,3289.28,3155.21,1646.15,1473.4,2108.54,2590.24,353.32,219.37,168.27,265.44,4583.93
35,285.39,,44.19,52.21,128.22,3109.27,2883.19,3688.16,1467.38,922.7,1375.94,2293.99,159.29,257.82,90.23,123.53,2283.48
36,518.3,,130.51,38.04,132.43,2659.79,1969.62,2638.92,2561.61,716.49,921.87,3467.21,286.74,110.21,85.48,192.44,2653.14
37,91.43,,116.38,147.38,160.28,3586.25,2053.91,1497.15,1070.24,812.48,845.66,3095.98,182.95,164.97,108.37,193.71,3522.59
38,229.2,,60.2,133.75,169.56,3507.55,2937.77,3452.41,1115.72,1390.84,1516.57,3679.47,1014.38,117.91,114.06,225.96,4716.42
39,211,,53.78,66.13,133.93,2917.27,2533.58,3351.01,834.08,743.23,1377.16,1880.49,201.18,65.06,79.12,224.55,2394.37
40,328.15,,152.38,40.57,155.97,2787.18,2780.23,2237,2631.62,600.29,936.93,3274.7,286.39,99.86,66.66,252.34,2510.75
41,68.44,,128.89,122.82,158.84,3085.48,2092.17,1478.79,977.23,717.9,1085.14,1917.04,200.72,189.04,49.15,192.03,3582.43
42,189.27,,60.14,128.06,157.91,931.05,4155.83,3180.31,1171.3,1140.54,1430.84,3733.77,378.99,326.55,61.96,245.95,4482.24
43,185.2,,71.64,54.18,149.54,2972.89,2349.44,2713.62,814.7,606.48,1280.21,2999.76,202.24,80.27,87.26,227.62,2519.19
44,183.13,,89.15,46.21,153.86,2660.71,3387.23,2566.8,2344.3,622.8,932.56,2886.99,248.32,83.44,71.88,267.59,2399.84
45,127.08,,161.64,148.29,191.25,367.06,1489.77,1518.52,691.57,753,1026.54,1255.62,185.86,90.39,45.1,183.4,2928.05
46,187.95,,86.63,137.36,181.96,1477.85,3445.63,1958.26,1020,1721.29,1004.67,2731.96,423.2,117.58,169.91,232.94,4056.36
47,169.44,,47.69,60.65,180.91,1830.49,2339.73,2514.4,722.27,925.75,1419.69,3584.88,328.25,110.82,96.19,268.13,1829.91
48,160.13,,72.64,37.43,137.34,1515.64,3312.41,3142.73,1287.28,560.88,1022.19,2616.37,274.32,133.86,212.9,364.98,1923.01
49,140.32,,140.86,139.72,179.98,2343.75,1234.9,2065.82,1209.73,522.66,893.63,1305.08,249.72,170.54,62.24,207.81,2733.91
50,335.58,,83.49,151.18,181.84,2055.86,3157.19,1901.18,1450.26,1248.07,990.59,2950.75,356.93,96.48,99.35,230.3,3990.81
