Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,523.95,,127.09,127.7,578.52,747.84,911.34,405.15,2891.42,59.06,754.61,584.6,24.29,63.77,39.43,128.67,169.37
2,813.08,,256.96,38.55,606.78,920.28,3144.9,480,3416.95,82.5,2415.84,582.82,47.36,404.61,65.25,141.4,159.24
3,2146.66,,107.21,6.17,582.82,2468.13,1095.41,138,2591.32,86.91,2216.5,574.13,91.25,43.47,8.45,141.5,136.9
4,2067.85,,173.56,7.38,550.14,1110.07,912.6,278.58,2326.35,119.7,2123.8,950.64,21.76,43.71,22.21,123.3,272.71
5,1621.08,,129.45,108.5,551.47,876.66,1616.16,390.8,2878.46,102.35,934.9,871.85,155.86,28.44,22.73,135.5,234.45
6,2028.55,,313.76,20.53,617.01,868.66,4713.43,417.77,3058.14,73.47,2999.95,649.58,70.8,32.96,26.31,145,341.78
7,2003.83,,204.94,4.77,594.4,2117.77,1312.28,1131,2371.7,141.31,2466.7,714.78,75.13,19.53,12.22,131.5,206.09
8,2016.63,,361.42,6.18,529.36,979.38,1171.84,279.73,1858.42,132.59,1997.03,690.98,82.72,61.79,13.11,135.4,391.44
9,1829.29,,155.23,57.57,556.74,678.23,1857.96,491.98,2010.62,84.67,1341.92,746.33,150.08,19.09,21.7,159.39,225.69
10,2233.38,,219.08,22.34,611.16,1087.59,4852.31,483.92,3013.54,114.37,3497.96,655.49,58.86,87.79,19.52,125.05,430.81
11,2555.74,,244.26,8.89,643.36,1943.46,1330.86,1381.79,2072.47,66.02,2670.61,752.72,67.29,28.11,4.96,156.19,271.28
12,2132.42,,268.42,12.03,627.45,577.24,3800.09,396.35,2165.08,94.3,2085.69,550.42,102.79,88.81,2.75,202.39,360.41
13,1824.6,,69.96,54.04,595.11,793.29,2191.63,460.56,2135.55,77.64,2108.93,1282.81,174.67,47.55,15.9,192.41,239.9
14,1870.75,,104.48,11.06,549.15,647.55,4972.68,524.42,3258.06,98.42,2927.49,433.73,46.63,52.73,10.11,151.04,389.56
15,1744.66,,169.96,11.01,591.5,1072.88,2777.12,845.36,1930.76,121.46,2836.59,447.96,78.71,71.01,5.18,127.02,374.21
16,1598.83,,395.95,44.53,293.17,404.33,1365.24,579.75,2141.88,75.9,1727.9,512.68,148.87,57.21,9.52,198.63,359.79
17,1730.56,,212.48,61.2,358.15,529.97,2028.44,575.83,2650.39,109.6,1623.95,1149.68,229.37,43.01,13.3,149.95,215.78
