Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,11,,147.27,115.14,58.12,532.96,339.83,1159.91,112.58,609.66,1309.25,289.49,527.25,316.81,930.89,263.67,154.68
2,1.2,,123.01,18.93,35.84,33.24,650.36,1636,90.18,724.76,1308.77,361.98,1198.3,326.39,1017.13,300.07,109.11
3,3,,63.9,17.75,34.61,186.12,215.39,817,97.83,705.84,2131.5,158.3,800.4,187.64,422.89,652.91,83.71
4,0.4,,135.74,21.46,31.42,110.94,403.98,181.64,102.3,1583.24,1790.4,356.24,247.77,320.18,527.05,335,396.72
5,0.32,,117.82,113.18,58.21,544.3,349.16,1189.22,89.16,1581.09,1423.35,309.76,447.5,390.66,693.83,226,223.43
6,0.8,,127.42,112.58,49.24,516,982.12,2560.34,239.24,515.76,1556,372.79,386.08,386.29,851.28,323,205.86
7,0.96,,33.44,25.24,39.33,166.8,200.76,829,236.3,466.08,2292.93,479.64,816.62,45.14,1288.92,168,61.7
8,0.4,,190.04,29.14,35.95,296.43,393.4,109.76,230.27,443.43,1877.18,389.35,420.86,230.41,2002.73,180.18,59.17
9,4,,99.98,114.19,278.91,326.03,411.28,1075.34,259.66,385.8,1626.16,256.44,573.07,157.88,469.92,244.68,150.01
10,,,188.19,209.23,67.42,402.85,1034.8,2321.32,247.75,553.54,1558.9,401.93,768.64,227.54,1252.35,269.49,261.19
11,1.48,,10.8,43.41,32.37,345.86,208.03,720.74,205.39,581.75,2755.06,303.13,934.75,307.54,611.47,477.52,103.2
12,1.8,,136.13,38.04,35.21,343.24,428.61,348.59,258.8,371.73,1702.07,365.52,474.26,203.77,1448.13,138.05,63.43
13,0.88,,54.7,117.04,288.05,217.49,327.4,1047.11,324.09,487.92,2515.73,406.07,626.39,271.45,902.11,334.76,126.78
14,,,71.25,156.77,61.18,424.44,890.5,2160.33,253.74,480.28,1686.76,253.24,767.54,267.11,569.16,234.59,191.81
15,,,4,58.07,27.2,313.6,785.72,540.16,212.17,669.48,2526.88,371.03,1031.38,405.26,584.64,370.37,95.32
16,7.67,,66.07,32.64,24.33,576.78,398.52,342.34,379.76,516.44,2211.73,197.75,667.63,327.51,975.73,176.23,60.98
17,,,97.25,168.6,162.72,277.26,264.18,958.35,365.27,439.69,2174.84,204.98,702.08,292.43,975.13,152.62,112.68
18,,,47.51,208.14,40.56,277.48,889.65,1381.94,362.12,331.94,1180.91,169.49,449.31,71.17,808.36,252.53,866.09
19,,,4.76,66.79,26.46,114.26,628.25,784.98,128.05,570,1264.8,134.55,444.54,68.1,616.17,389.76,100.75
20,,,170.06,67.89,24.84,133.51,414.79,529.64,930.85,417.27,1480.46,294.57,686.34,246.73,877.33,174.94,69.49
21,,,192.09,137.93,114.12,126.11,272.15,1059.45,878.14,497.75,1677.3,360.65,632.58,228.71,804.7,112.4,104.47
22,,,78.45,209.17,126.5,67.88,448.77,844.84,297.7,532.92,1449.66,200.54,529.39,103.31,1145.67,214.06,594.25
23,2.2,,4.2,60.46,40.68,103.98,569.15,646.29,687.97,637.87,488.35,146.76,522.86,74.56,740.25,345.23,156.59
24,,,175.77,74,56.06,114,376.98,572.33,780.62,611.34,1298.23,99.3,839.91,130.22,1158.3,226.96,103.72
25,,,165.28,302.19,100.81,122.2,290.29,1027.06,442.02,659.87,1144.88,105.01,180.43,153.6,1010.9,128.9,131.09
26,,,79.05,420.84,54.54,40.63,473.04,807.15,357.21,736.32,1382.11,318.76,564.36,200.44,968.4,316.5,239.56
27,,,4.62,62.14,34.57,34.6,216.12,615.52,288.13,552.87,548.15,118.96,449.83,112.78,503.3,492.45,145.71
28,,,289.32,66.4,56.16,47.8,370.88,735.29,780.74,577.68,706.55,132.95,818.82,161.16,991.85,213.41,108.26
29,,,163.87,278.28,124.58,150.24,249.79,808.88,495.73,661.91,747.03,199.61,335.39,175.84,928.96,190.98,124.02
30,,,181.87,413.05,60.49,81.14,309.08,807.07,109.69,659.98,892.61,237.03,647.87,210.76,1289.85,386.16,116.22
31,,,2.41,54.28,48.67,459.24,234.09,720.6,239.86,440.3,461.54,99.2,553.51,154.65,530.21,372.8,142.45
32,,,574.39,39.95,103.76,188.08,361.1,880.09,191.16,477.58,683.9,108.18,556.65,117.27,844.04,177.16,87.54
33,,,174.97,275.92,180.76,125.46,289.1,557.46,512.27,600.4,358.14,114.6,430.55,133.19,982.62,166.11,106.89
34,,,208.1,454.4,67.95,67.25,420.17,832.28,122.49,688.27,1104.73,229.48,636.24,141.33,1357.93,325.87,157.23
35,,,11.87,56.88,47.4,157.99,139.22,690.37,301.02,417,453.01,109.89,547.55,72.09,724.77,258.53,136.98
36,,,504.71,45.75,105.99,138.46,372.52,908.76,204.95,407.61,264.82,101.71,539.8,145.47,555.09,169.06,118.07
37,,,113.64,290.92,228.57,111.22,261.09,664.43,555.37,488.47,267.49,105.5,439.25,79.64,871.38,144.99,98.49
38,,,146.29,392.14,66.31,64.99,162.84,908.02,134.72,643.9,379.47,107.09,648.48,223.95,964.34,179.39,163.51
39,,,30.26,33.57,35.1,236.38,142.32,616.36,298.27,529.84,532.44,123.17,583.52,97.07,636.01,226.03,140.66
40,,,539.7,44.2,100.58,114.89,418.19,1044.53,219.52,453.73,330.75,96.69,607.92,107.41,797.7,237.23,109.68
41,,,78.78,173.19,239.15,102.11,220.38,560.51,547.64,372.51,347.69,164.42,482.85,182.18,665.14,183.31,68.5
