Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,9,,13.24,6.38,9.73,8.45,206.12,248.6,4621.58,1546.23,215.28,14276.99,2418.04,52.19,4594.9,380.2,1815
2,56,,24.98,19.95,207.58,0.82,2040.64,190,3239.72,1036.52,609.99,1160.01,1560.48,64.26,4622.16,340.83,2498.73
3,67.48,,28.84,13.47,80.2,11.42,729.62,450,1302.92,352.44,468.3,1159.29,1712.74,101.17,4422.96,92.83,2439.89
4,12.2,,74.21,0.95,19.24,0.89,2134.63,63,2470,185.76,218.25,1075.16,1418.76,124.9,5404.99,56.5,2886.42
5,0.84,,20,159.99,20.03,0.71,212.73,280,4999.06,583.29,282.23,11965.69,1630.36,58.24,4637.03,330.16,2201.6
6,12.68,,40.92,258.7,127.4,7.35,4001.78,183,3495,361.53,738.35,4036.27,1678.86,123.8,4161.27,307.5,2356.4
7,56.8,,52.69,150.21,60.41,14,1086.23,124,1046.41,260.72,534.59,4569.07,1510.76,23.89,1084.99,280.91,2018.21
8,22.8,,47.91,1.75,16.5,1.74,2225.24,55,2079.2,223.36,344.56,4759.69,1402.48,128.72,1908.25,53.87,2959.54
9,58,,70.88,156,39.96,73.92,188.48,286.4,7953.82,1043,279.19,10990.5,2063.69,28.16,2254.19,205.96,2269.81
10,47.76,,68.19,276.48,178.57,53.72,3831.42,29.06,4130.47,827.87,778.4,4726.19,1009.05,34.55,4313.1,145.71,2163.01
11,23.52,,42.73,150.17,66.27,44.75,1114.75,173.07,377.97,357.35,392.35,2044.09,927.83,331.22,2148.77,6.91,1698.3
12,53.65,,64.11,51.09,16.74,36.03,1622.06,111.16,234.52,265.18,412.8,2101.31,602.9,248.13,3307.78,77.99,3412.53
13,,,39.5,149.65,47.47,217.69,215.46,224.15,221.01,862.56,447.01,9166.54,1825.15,174.48,378.09,86.4,2349.58
14,3.8,,61.23,263.28,187.55,109.39,3336.9,28.56,386.17,984.12,886.45,2585.52,916.45,114.47,254.91,114.79,2766.55
15,14.68,,20.88,170.13,58.86,17.7,633.52,348.37,321.56,404.31,408.17,4025.35,749.26,154.67,701.64,23.07,2092.45
16,17.44,,56.67,61.24,53.61,5.9,1683.99,141.33,215.78,405.96,492.63,7448.77,375.85,355.06,309.86,66.78,3667.06
17,0.4,,192.15,286.26,23.47,61.95,382.22,339.52,595.48,852.36,615.16,10068.78,1426.45,167.04,121.67,74.88,2436.62
18,11.2,,61.76,201.57,29.34,,2174.89,211.25,1723.57,1000.42,647.87,3983.5,197.7,7.94,108.83,124.61,2650.55
19,35.8,,13.8,357.66,30.8,222.5,585.58,447.45,645.86,220.04,550.55,2451.86,952.95,11.47,90.73,36.69,2329.1
