Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,78.99,,724.33,1534.98,623.85,1716.37,1766.82,4017.86,1301.08,1463.06,2217.08,1694.08,211.5,446.51,156.27,2744.81,708.89
2,66.56,,680.24,789,286.88,2054.74,2696.84,2825,1504.24,519.38,1919.6,1239.21,249.5,278.84,138.04,1745.06,703.96
3,241.64,,375.05,327.23,288.57,151.48,2470.37,2450,1320.11,468.64,1519.47,1070.59,702.39,277.85,98.4,645.7,733.04
4,110.8,,506.61,684.71,583.92,1021,2672.25,3635.25,1817.93,558.96,1524.23,1145.87,1012.49,139.82,279.95,644,365.09
5,35.8,,359.36,1689.18,301.24,974.63,2506.19,3214.23,1198.92,1048.53,1812.99,1416.75,575.86,353.58,47.59,2436.02,791.47
6,76.59,,485.63,846.79,146.83,303.22,4657.31,2921.59,1669.52,478.62,1967.45,1786.05,186.5,301.97,545.95,2059,632.26
7,205.6,,217.33,284.11,182.44,273.41,3436.43,2252,1295.83,449.04,1381.74,1350.34,757.83,727.48,19.63,834.36,1149.58
8,134.9,,445.34,511.35,355.77,1057.51,2669.06,3802.45,1758.39,236.74,1561.5,1463.62,896.25,569.41,128.95,1349.7,982.89
9,123.28,,462.7,1819.15,335.68,1067.19,1552.18,3239.62,2913.9,774.74,2134.89,917.64,729.7,366.09,159.9,2596.39,1456.33
10,189.43,,666.81,946.18,163.18,875.65,4627.14,3281.99,3204.92,538.19,1984.28,1357.59,406.96,387.47,60.93,2644.98,1842.45
11,252.8,,122.27,457.06,158.42,383.26,3474.27,2590.89,1467.15,281.32,1418.31,1022.78,823.29,186.95,36.2,1405.3,1102.43
12,134.55,,395.68,698.96,346.49,756.18,1904.46,3268.61,2441.45,167.48,1216.95,871.84,917.61,995.91,33.51,1904.05,977.67
13,42.57,,160.7,1538.15,217.87,763.87,1395.33,2835.49,2556.64,721.57,1549.11,943.06,840.24,193.38,36.52,1354.01,1343.2
14,69.04,,473.82,1007.96,145.84,623.82,4269.35,3516.83,3277.75,319.95,1341.4,1724.59,402.94,297.28,746.84,2557.49,1626.81
15,111.94,,184.52,423.22,146.65,239.91,1953.55,3978.47,1471.73,206.71,1425.58,1022.01,738.43,597.78,251.42,1306.8,1251.52
16,237,,190.11,629.86,131.69,850.54,1899.76,4394.13,2252.45,271.24,1257.4,1312.78,799.39,810.4,1592.91,1375.78,1025.99
17,37.83,,207.78,1609.86,90.21,1075.81,1613.52,3287.61,2650.24,298.67,1373.65,1674.91,548.86,845.88,199.15,1211.21,965.29
18,76,,443.69,1875.02,257.01,604.64,4303.66,4261.09,4148.12,695.67,2499.57,853.25,843,1254.15,289.86,2211.72,1297.87
19,148.2,,260.53,622.54,400.35,599.39,2029.22,4054.48,2435.05,267.7,2098.91,912.32,277.24,622.69,319.99,1285.26,1298.46
20,116.86,,151.61,124.31,524.59,1328.42,2834.88,5310.95,2630.96,547.08,1231.27,1805.04,753.48,413.51,275.26,1132.55,1423.67
21,80.45,,61.1,1579.89,92.6,1342.49,1507.22,4830.36,2597.08,541.86,1766.13,2078.11,433.08,602.95,141.02,1153.91,949.86
22,62.44,,86.62,1920.94,130.39,625.43,2429.11,5464.11,3460.52,780.84,1955.15,1157.99,283.28,869.53,142.14,2008.75,1361.26
23,215.23,,148.72,643.43,174.53,479.02,2669.83,4323.16,2431.44,404.71,1255.66,1068.44,480.31,389.13,186.81,752.42,1339.07
24,109.97,,296.4,128.94,186.71,1099.99,2764.38,5588.2,3167.78,642.33,1336.88,1805.8,812.58,113.98,201.96,955.19,1513.72
25,62.92,,99.91,1035.36,76.68,1241.99,1570.58,4653.01,2359,732.17,1709.13,1700.53,148.97,723.82,75.75,1146.37,1060.27
26,129.43,,72.44,1990.66,147.04,522.17,3038.83,5629.87,3741.08,737.34,1967.1,1036.77,284.51,532.73,108.55,1434.59,1404.22
27,133.29,,132.44,659.64,158.26,319.66,2429.24,4413.51,2313.33,484.9,1133.75,1173.37,445.98,187.52,26.65,666.11,1354.74
28,108.44,,202.21,145.33,304.8,986.18,1594.39,5552.6,2904.8,492.51,1354.59,1247.93,813.35,201.58,670.25,588.22,1493.25
29,36.08,,37.88,618.2,71.51,1313.8,1748.13,5399.06,1864.56,735.79,1222.88,906.36,326.45,716.21,931.06,1006.1,1041.52
30,44.37,,35.07,1915.81,110.75,449.67,2735.58,5867.2,2223.73,432.88,1825.02,855.05,451.04,495.26,446.75,1051.92,1312.49
31,65.99,,131.9,757.37,133.24,206.16,1244.03,4834.22,2561.5,411.77,1098.02,958.91,464.53,694.07,230.21,547.12,1283.65
32,78.72,,108.85,128.71,310.71,229.29,2162.79,6036.4,1742.54,510.18,1255.14,993.68,676.85,1075.2,153.63,529.24,1322.11
33,62,,131.55,764.42,80.21,600.56,1486.14,5363.08,2168.83,844.65,1134.64,1073.2,629.03,393.27,451.77,591.35,1012.78
