Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,39.48,,251.05,527.48,68.92,422.89,245.81,108,791.66,42.61,159.47,85.54,9.7,77.99,84.79,34.13,92.82
2,30.68,,383.76,261.78,106.24,489.68,481.3,428,1000.61,12.7,368.3,145.9,25.66,127.25,120.57,22.6,75.87
3,16.62,,100.24,185.87,74.87,61.3,237.57,319,1059.21,25.27,367.98,307.38,178.18,183.05,28.79,13.17,44
4,10.27,,201.36,228.46,79.35,79.91,133.97,119.73,928.84,42.04,215.86,458.28,131.79,127.34,56.72,15.68,94.58
5,16.44,,257.07,603.42,67.73,103.65,259.41,100.79,1000.45,59.35,242.52,259.04,21.16,119.96,50.47,36.29,234.64
6,23.19,,79.13,264.2,110.88,491.94,641.82,438.54,1203.06,62.13,358.05,166.12,36.06,124.69,65.07,52.6,263.63
7,26.93,,155.19,177.35,82.35,246.21,336.35,364,1083.74,101.18,357.81,231.58,137.32,56.23,26.96,25,99.59
8,26.89,,228.11,239.43,81.12,103.17,172.39,131.35,985.36,219.18,269.05,191.67,110.77,228.37,21.64,18.89,59.9
9,32.88,,163.62,833.39,75.42,378.55,272,188.96,1381.57,109.23,301.58,507.98,44.33,156.45,17.96,92.8,91.38
10,18.95,,108.5,352.04,112.13,697.74,652.65,288.21,1432.36,61.35,407.68,361.78,123.08,104.72,28.81,250.44,331.41
11,18.02,,100.49,194.67,93.88,396.51,361.97,357.26,1087.51,104.92,466.69,189.29,158.86,130.44,36.64,138.09,157.39
12,26.4,,355.77,245.09,159.83,246.37,265.28,277.58,1330.15,85.51,432.81,226.82,162,99.91,18.53,15.33,51.45
13,33.42,,271.72,794.87,103.11,253.65,276.32,176.19,1444.9,72.13,298.02,494.27,35.82,162.63,20.66,196.77,103.36
14,55.32,,172.85,317,103.83,2829.09,682.85,296.77,1298.67,65.08,315.13,308.73,105.11,40.8,8.24,240.03,97.71
15,30.32,,87.08,250.22,87.32,363.43,1042.85,291.1,1078.73,75.95,462.63,206.54,277.54,79.71,3.61,160.22,232.91
16,33.85,,205.91,208.06,74.24,394.43,258.28,235.24,1240.77,63.49,368.27,238.31,262.58,29.96,1.09,58.93,58.39
17,17.1,,314.06,975.35,51.4,254.76,287.88,155.1,1358.74,57.48,404.68,301,115.25,68.27,3.65,161.77,106.98
18,22.31,,56.21,287.02,77.04,1946.22,439.71,201.91,804.56,55.8,142.65,172.65,365.54,48.02,6.97,108.04,18.46
19,22.55,,90.21,275.43,79.87,201.84,835.68,403.95,868.26,60.43,220.49,914.7,211.56,26.62,2.47,82.01,94.78
