Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,14427.16,,232.45,847.63,170.44,7687.92,3127.85,4729.52,2670.77,11065.69,3303.2,11978.17,722,1156.72,2206.73,491.44,5639
2,27317.88,,480.33,881.41,493.57,9997.75,7942.5,4891,3287.46,6082.76,3480.31,9042.05,2155.48,1116.02,2458.29,486.01,5514.78
3,14462.16,,320.94,768.26,300.1,2610.75,4924.58,5969,2053.13,6224.54,2986,10679.01,4111.32,917.68,4876.2,544.1,5081.31
4,7968.1,,232.2,36.77,253.89,4802.19,4880.08,5314.76,1792.83,5202.1,2130.79,11796.5,1490.58,1136.85,4905.99,400.05,5518.71
5,5672.44,,217.06,707.32,209.52,10405.05,4113.31,5549.61,1783.4,7090.9,4804.5,11904.18,1015,1036.23,2091.06,405.19,6128.17
6,14310.2,,656.42,842.06,665.88,13157.76,11873.4,4289.18,3136.91,5665.39,4376.2,16878.65,2215.3,998.76,2984.57,501.52,4792.81
7,7707.28,,591.94,757.9,424.07,2936.14,6258.99,3738,1689.31,5058.95,3389.38,10540.9,4049.13,1325.89,2947.33,620.66,4248.35
8,6465.62,,397.57,48.04,393.97,5246.23,4839.88,5299.57,1762.79,3846.67,2392.94,9247.53,1104.14,2869.05,3837.03,415.66,5128.71
9,10007.58,,230.87,809.85,282.3,7209.63,4206.08,5688.84,2262.2,8800.41,5392.72,9663.4,1196,3786.96,1794.32,449.11,5519.47
10,16734.07,,513.03,882.82,645.72,8909.17,11872.48,5412.67,3912.43,8341.77,4730.12,18449.42,2972.21,1564.1,4397.97,439.79,5358.34
11,9523.02,,455.3,751.21,502.81,4532.68,6362.83,4580.95,1834.65,4883.55,3561.28,53827.15,4904.15,1128.59,2682.18,346.83,4283.55
12,4765.88,,388.16,75.79,416.68,4100.62,3688.5,5589.3,2351.15,4024.24,2656.01,14076.51,1240.21,761.45,3797.7,331.18,5355.02
13,7965.83,,316.99,653.03,312.57,5400.62,3292.32,5365.83,2217.95,7837.89,5634.7,14826.15,1222.85,3652.56,2427.96,335.25,5518.13
14,17343.8,,2886.22,645.83,611.16,7041.74,10966.39,5947.44,3946.68,8342.68,7450.96,14169.14,2784.14,894.79,3413.73,515.82,5703.77
15,11768.01,,2587.26,648.68,500.71,4567.27,3784.03,5668.29,1621.99,4379.67,3981.86,21158.76,4884.21,1379.41,3549.18,493.56,4717.73
16,7392.54,,365.29,76.31,285.16,5337.02,3911.46,5227.46,2056.35,4013.24,3998.02,13166.02,1037.18,2328.12,3377.91,310.9,5920.65
17,11238.22,,279.84,625.61,265.46,7268.27,2943.4,5469.72,2283.5,6715.97,5959.87,8391.71,1115.03,1466.44,3066.24,511.87,5832.22
