Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,3969.65,,811.93,64.59,759.89,3180.83,1528.68,1595.07,780.15,1242.12,289.26,14299.07,239.9,329,12206.84,553.83,1158.88
2,3092.48,,1093.72,129.1,484.12,2105.46,2258.73,723.66,442.92,203.72,452.24,7506.51,164.48,297.2,11802.95,322.8,1227.86
3,623.34,,504.08,52.97,552.62,759.06,1464.61,661,430.18,584.09,225,7819.52,472.54,428.43,12842.19,170,2502.82
4,1682.94,,566.91,1.66,1063.63,790.12,1505.31,433.14,1013.86,255.85,324.5,3875.05,159.35,1948.17,22519.24,324,1190.16
5,2803.36,,978.34,103.68,790.19,370.75,2213.88,1506.69,772.85,325.7,391.75,7512.82,148.64,469.76,20860.98,791,1128.36
6,2257.69,,1220.23,132.03,734.4,748.36,3828.14,682.6,492.7,268.12,793.75,4572.54,94.08,345.49,28381.35,850,1792.62
7,1314.45,,865.07,69.57,654.99,934.04,1934.63,790,491.96,584.72,340.61,8162.69,176.98,396.98,15677.8,421.06,2660.54
8,1386.47,,1071.57,20.34,930.96,1046.16,1745.94,414.81,731.29,613.15,359.24,4041.31,164.75,447.75,24624.08,443.28,2445.47
9,2007.5,,1171.96,111.09,940.36,743.29,2168.1,1133.9,802.54,312.62,487.03,21459.52,148.34,668.84,16293.43,862.88,1846.32
10,1450.49,,1521.91,179.05,896.69,537.28,3737.88,1014.04,512.39,233.71,805.28,3257.95,100.56,550.89,26024.05,1006.28,2830.73
11,602.57,,1045.48,91.52,753.77,1035.04,1986.65,1008.4,539.9,293.33,728.13,7532.77,388.77,942.59,21054.57,1269.38,2976.85
12,601.12,,787.87,40.6,852.06,2420.55,1141.96,503.15,754.63,256.74,1063.16,2007.6,342.76,1455.38,32653.08,797.71,2118.64
13,1049.83,,1462.12,132.76,978.04,948.13,2247.02,1063.2,983.52,378.47,575.57,5398.2,219.94,1011.97,35050.31,1274.12,1884.51
14,1390.28,,1497.96,77.41,902.33,982.76,3881.64,1074.64,430.2,231.31,1000.57,4472.26,114.05,666.3,34761.68,1260.54,2802.05
15,639.04,,1336.69,161.16,690.62,803.08,945.55,697.84,470.16,245.29,816.38,3785.61,367.66,613.09,35242.26,1270.95,3192.71
16,851.12,,1360.26,96.86,990.24,1611.22,1391.82,591.26,834.42,228.59,1066.13,3999.9,445.59,727.84,42557.45,1312.25,2463.09
17,1017.3,,2020.94,144.8,1425.02,866.65,1863.55,935.7,1117.41,335.69,875.36,6700.84,296.7,676.67,38129.91,930.64,2620.17
18,665.57,,1709,73.07,921.15,814.37,4721.33,1121.12,1126.69,489.57,2549.17,5558.4,291.98,320.03,47427.5,1828.16,2365.78
19,601.49,,1695.34,340.06,436.93,947.95,1423.39,720.5,780.41,150.59,3830.46,2498.78,466.35,716.22,27590.08,1259.47,3339.71
20,809.54,,978.58,170.85,1072.73,1483.26,1995.81,494.83,994.88,143.33,4263.35,6568.63,292.6,389.62,49586.87,943.99,2597.61
21,1549.27,,1504.27,145.75,1475.39,738.31,1326,970.51,1674.69,393.66,1585.14,4341.18,276.02,729.67,43198.66,771.65,2181.31
22,1593.88,,1468.05,172.85,402.22,1096.47,3402.48,1294.76,1315.89,545.54,2435.56,3759.48,405.07,520.6,25562.27,1448.89,2836.99
23,893.49,,1976.7,350.98,791.45,1104.54,1199.91,888.36,1131.22,187.93,2830.37,4659.38,471.77,437.49,31271.34,1099.49,3148.71
24,957.51,,1456.74,153.06,1204.06,1279.96,2331.46,431.56,1027.79,128,3417.45,7034.83,347.39,320.29,40901.45,967.35,2654.35
25,945.64,,1217.41,102.81,1797.1,671.75,1568.66,692.87,1298.59,304.68,2537.18,3664.52,174.32,455.29,31000.27,611.9,2356.11
26,1613.85,,1533.78,163.92,677.1,985.63,3228.45,1207.39,1187.16,424.4,4025.37,3531.53,269.51,500.31,31002.37,753.03,2989.29
27,316.04,,1464.5,324.92,704.41,410.75,1140.62,812.56,1025.41,172.45,3503.77,4451.7,455.67,425.15,23769.36,762.61,3273.43
28,640.8,,1801.63,175.91,1132.89,1458.41,2267.2,481.5,976.85,130.46,3501.67,3953.7,416.27,717.84,29906.28,640.01,2676.3
29,518.23,,616.92,77.77,1013.12,913.48,1779.65,1787.47,566.98,250.05,2600.49,2532.68,123.65,654.06,25873.79,632.94,2161.17
30,404.6,,830.19,168.02,635.91,752.54,2177.53,1102.3,615.58,378.2,3907.8,3005.07,182.1,458.06,32230.78,713.2,3100.43
31,335.88,,566.87,320.45,617.78,844.84,1274.18,817.14,718.02,161.79,3568.7,4150.16,374.29,299.32,34729.23,699.76,3204.89
32,738.88,,1009.18,135.09,1185.67,873.8,1634.19,510.22,1077.98,137.35,3488.55,2901.26,360.39,498.23,43028.07,797.83,2635.54
33,462.86,,972.24,86.21,1012.47,529.18,1385.87,1814.65,742.69,249.77,2636.88,2733.45,126.04,271.15,38777.91,1164.03,2182.89
