Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,190.42,,79.51,60.66,943.5,460.9,1031.13,261.12,1107.83,677.96,2436.61,610.51,56.4,76.87,12.55,97.5,907.11
2,226.32,,101.9,58.41,951.48,537.48,1115.32,280,2282.61,693.94,3680.94,1537.59,286.24,107.32,7.47,169.95,383.42
3,121.83,,55.3,59.57,1004.32,514.82,1042.67,343,4663.43,303.42,3240.9,951.57,23.69,55.28,6,146,285
4,178.25,,141.44,60.18,457.1,810.4,3179.28,227.66,2098.92,337.3,3122.34,1115.23,230.63,37.01,47.3,127,392.62
5,141.36,,81.45,53.45,958.06,585.09,1722.92,199.2,1371.88,164.46,3857.48,754.71,223.84,39.27,6.92,104,940.33
6,161.64,,102.31,50.18,966.47,604.84,2120.37,225.04,1829.58,274.18,4814,1744.74,28.17,68.18,11.21,185.7,528.52
7,354.5,,170.64,55.44,1070.95,587.2,1340.4,240,3769.29,674.17,3468,775.46,36.24,74.69,6.34,156,411.66
8,77.61,,299.57,65.84,486.91,612,3238.9,208.1,1840.11,326.02,3377.4,1195.33,215.47,37.8,6.98,129.57,581.68
9,207.7,,53.7,55.19,958.99,480.95,1648.56,225.11,1535.38,135.47,4249.83,793.51,125.27,249.46,6.27,106.82,811.06
10,157.36,,240.26,63.58,1088.44,649.45,2091.48,281.13,1544.08,230.91,5272.67,1212.2,70,32.99,10,66.25,557.96
11,205.16,,235.03,54.65,1074.49,1012,1407.1,470.82,3074.53,327.09,3566.78,996.23,187.99,13.79,6.2,9.77,466.69
12,204.29,,311.89,72.7,538.3,514.48,1393.17,379.6,1636.41,250.61,3498.81,1305.76,360.3,39.93,7.75,40.72,619.21
13,220.3,,92.92,78.67,970.94,781.86,1041.09,210.51,1304.56,150.84,4269.11,1765.42,122.67,29.88,5.94,43.97,777.81
14,114.83,,86.05,25.42,1109.57,334.56,2382.12,280.2,1556.59,260.69,5669.48,1121.7,83.19,66.97,10.14,52.79,849.92
15,111.33,,330.53,61.05,1029,555.42,1916.84,327.48,2138.39,294.92,3713.15,1509.47,164.73,27.1,5.66,17.54,545.71
16,122.08,,328.04,61.48,272.51,378.57,2478.12,478.36,1620.94,178.52,3902.12,1454.4,370.35,41.2,6.79,89.61,584.35
17,126.71,,126.05,88.81,733.9,550.93,1767.98,286.96,1190.82,183.26,5089.83,1204.04,126.47,19.68,7.7,35.25,765.19
18,133.96,,31.53,33.99,859.02,289.06,2452.61,441.97,2702.96,238.19,3685.37,969.66,109.13,54.19,10.81,51.73,206
19,153.93,,48.42,46.17,874.82,492.48,1658,915.9,3167.41,268.56,3137,1212.8,87.56,19.57,5.3,36.95,559.4
20,263.28,,77.38,37.44,243.27,340.55,1987.05,1121.7,2027.68,176.92,3108.05,1769.59,225.17,21.04,6.73,80.5,734.1
21,152.08,,42.06,112.07,656.41,572.64,2079.56,1343.26,1748.08,167.04,4626.61,2002.47,84.99,31.96,7.4,26.56,698.04
22,133.23,,27,79.18,788.54,524.97,2468.45,1216.36,2478.23,193.15,3516.49,1790.94,172.75,48.69,10.69,54.42,242.06
23,1168.94,,67.48,52.09,875.44,653.68,1379.13,1772.21,3229.08,252.88,2567.66,1966.46,157.57,37.33,6.84,66.02,598.46
24,854.32,,178.92,38.52,292.91,815.94,1529.44,1328.59,1928.14,184.04,2457.8,2164.41,148.09,44.56,6.61,60.62,727.73
25,563.6,,166.14,127.89,727.47,666.31,1978.7,1417.26,2066.88,160.1,4232.44,1336.23,141.59,37.36,7.85,43.2,751.21
26,424.53,,142.89,66.52,792.95,661.21,3084.1,1255.19,2986.16,173.73,3174.98,2228.13,250.13,54.02,11.1,74.12,318.26
27,718.55,,89.92,60.45,816.53,807.3,1124.94,1736.21,2746.6,214.56,2219.93,1715.96,109.24,22.5,6.7,78.4,624.5
28,676.64,,156.55,43.24,293.08,926.64,1692.16,1506.76,1947.09,193,1792.17,1765.44,153.6,27.07,7.1,63.01,841.82
29,271.19,,337.04,108.86,727.11,835.4,2059.14,1271.62,1428.1,229.53,2490.35,1094.54,126.06,19.65,8.66,78.76,728.33
30,133.36,,96.73,70.27,669.44,456.4,2618.56,1111.72,2751.33,302.63,2387.09,2448.86,227.48,49.8,11.66,130.81,367.23
31,119.25,,40.98,65.85,607.79,370.33,1089.29,1198.05,2734.3,240.83,1771.89,1417.81,198.47,64.75,6.58,93.26,573.88
32,119.53,,56.66,44.54,314.75,361.52,2401.84,1320.66,1574.32,238.47,1686.27,1203.79,236.08,68.32,8.36,136.78,559.22
33,111.53,,48.46,111.99,647.26,318.63,1916.4,910.25,1317.76,255.68,2190.23,1761.48,119.97,47.59,8.3,127.45,727.76
34,211.19,,46.25,109.92,635.86,392.27,2425.2,1193.13,2596.87,441.82,2325.13,1684.36,173.47,27.76,14.45,149.05,417.25
35,199.11,,35.43,78.03,560.7,386.23,955.48,1222.64,2216.6,358.27,1964.79,1425.3,198.04,13.12,9.81,169.66,562.4
36,124.24,,84.1,26.43,315.2,374.47,1736.99,1371.52,1378.49,302.73,1450.66,1141.92,217.77,33.33,10.01,147.65,644.19
37,165.92,,32.95,109.19,641.59,285.66,1120.09,1031.18,1456.53,299.46,1562.79,1630.64,147.17,16.49,6.76,142.2,793
38,99.44,,31.93,102.1,657.17,334.94,2372.61,1586.6,2234.02,294.72,2306.78,1229.08,188.67,28.81,13.2,137.14,514.93
39,196.03,,37.02,78.5,556.41,254.15,814.74,798.15,1991.32,215.61,1935.41,1163.27,187.02,15.53,12.25,174.11,555.79
40,289.57,,97.64,27.69,313.53,421.51,1227.54,1419.1,1417.21,199.8,1623.54,863.19,218.48,26.67,12.27,185.07,699.73
