Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,112.58,,168.53,35.46,287.52,4,151.52,407.54,1049.4,24.89,621.55,92.44,156.79,31.33,29.43,57,234.94
2,106.72,,57.76,26.63,229.28,31.61,384.62,486.23,1012.63,23.35,508.75,104.76,108.22,345.54,92.19,42.48,412.86
3,249.13,,54.91,14,422.15,34.38,120.99,218.85,1296.71,87.64,460.5,360.53,338.19,138.35,14.25,29.58,552.36
4,680.43,,97.9,22,396.92,13.27,87.44,239.56,1101.75,119.37,697.4,179.52,420.34,52.57,10.19,27.3,541.92
5,111.44,,70.88,47.7,374.52,7.12,161.13,301.36,1144.7,135.45,658.55,183.34,456.28,87.3,19.2,47.56,290.53
6,138.33,,86.52,29.79,316.54,10.6,560.54,347.9,895.84,180.86,481.5,104.3,283.64,116.22,18.95,42.4,430.28
7,195.49,,75.05,15.89,377.71,1.01,136.92,303.53,1063.71,135.57,533.03,238.12,483.12,131.95,9.32,31.18,577.88
8,328.29,,93.27,26.53,366.08,10.23,89.97,333.86,1084.1,107.64,439.23,124.82,395.27,638.26,9.98,32.06,616.35
9,148.59,,40.55,45.65,433.91,10.66,142.71,315.21,600.48,145.68,514.56,154.31,338.55,310.02,9.34,49.14,235.65
10,188.34,,88.01,30.37,360.06,28.5,548.95,440.49,691.85,175.37,462.08,111.16,360.23,169.55,7.81,24.48,402.62
11,149.08,,66.3,48.51,422.6,13.39,147.4,305.63,1327.12,126,510.67,196.31,739.58,240.21,10.99,22.71,559.97
12,192.47,,76.6,28.84,429.01,60.32,177.05,463.71,856.25,96.31,353.45,255.35,493.08,422.87,11.74,16.65,577.62
13,99.87,,60.21,39.53,427.13,0.3,146.45,258.19,571.52,134.29,304.99,253.54,474.02,176.56,6.72,58.06,264.97
14,68.18,,100.72,31.73,359.52,5.79,522.66,441.17,745.53,150.94,348.87,131.97,452.9,81.38,7.1,28.21,642.15
15,95.78,,53.99,58.29,387.72,27.03,545.08,639.14,992.99,139.66,420.53,195.8,588.95,148.26,9.58,23.89,539.47
16,360.43,,77.98,57.37,214.66,33.34,67.58,937.42,1034.09,186.38,374.54,205.47,662.5,292.57,6.1,18.17,600.51
17,135.87,,72.23,43.74,299.99,5.99,200.05,511.72,600.64,169.49,434.32,115.31,487.9,133.71,8.21,20.83,267.97
18,91.51,,51.83,54.97,234.21,1.83,468.14,328.41,534.02,52.68,164.62,131.21,135.75,96.73,10.15,87.79,374.69
19,77.9,,39.82,57.42,278.53,3.1,438.16,194.45,941.25,98.68,375.67,148.71,180.29,50.05,12.35,34.86,503.34
20,129.18,,24.45,36.6,184.61,4.02,95.6,501.39,947.86,162.93,224.1,106.11,641.37,228.98,8.15,10.44,605.57
21,93.93,,38.42,32.01,262.11,16.05,159.75,827.48,622.34,137.02,354.39,79.71,316.54,69.64,5.8,19.78,265.95
22,71.13,,29.75,33.66,225.92,14.1,445.38,803.02,627.62,96.12,917.96,152,280.38,70.23,14.76,33.3,423.33
23,82.31,,33.21,28.06,280.66,12.87,344.8,442.33,893.14,90.04,508.52,78.04,366.78,53.64,8.55,74.19,497.29
24,86.96,,29.42,39.44,247.56,10.24,112.9,441.52,871.93,120.19,479.11,111.13,593.84,52.32,6.48,34.85,638.68
25,74.19,,29.62,39.17,273.2,97.77,156.07,684.22,589.57,92.91,253.1,73.71,141.19,55.22,10.34,33.33,169.65
26,63.68,,29.14,28.3,186.04,5.08,710.03,722.47,648.64,80.15,868.19,101.58,230.66,118.96,6.25,41.11,380.27
27,75.64,,34.84,28.29,279.53,2.17,321.85,413.35,790.27,101.07,506.9,115.23,261.81,90.37,15.19,54.72,464.74
28,120.04,,33.24,47.95,256.58,82.28,111.86,404.33,817.88,110.97,650.53,143.51,567.16,35.94,13.63,41.38,698.62
29,79.68,,27.5,44.73,247.11,53.81,260.16,693.73,891.3,87.34,273.2,366.06,148.98,39.05,10.37,33.36,162.8
30,55.21,,53.21,49.17,243.1,44.84,460.7,608.31,1001.45,74.23,423,500.76,153.63,47.89,16.2,32.36,342.27
31,48.28,,27.22,40.06,250.83,26.93,235.04,194.09,1059.98,69.21,432.24,401.16,236.87,55.24,13.93,36,456.02
32,93.9,,33.22,49.53,232.2,71.69,148.89,274.1,697.93,72.76,519.19,414.86,240.56,58.02,6.37,62.86,533.78
33,72.47,,25.18,64.75,246.55,34.2,333.23,691.59,482.33,101.33,318.89,546.84,112.32,48.67,11.61,27.21,148.08
34,58.2,,38.39,50.33,245.91,42.56,263.71,575.24,981.86,82.36,294.61,456.94,138.82,93.16,15.48,47.25,389.2
35,79.83,,52.52,41.65,238.76,11.98,182.69,152.05,1012.16,58.14,430.48,497.12,198.74,31.78,9.46,60.07,213.77
36,91.54,,54.86,49.08,253.15,48.69,171.8,217.01,511.89,53.93,248.64,555.96,210.5,26.18,13.26,65.55,299.66
37,84.01,,29.26,60.1,248.63,52.03,244.17,648.59,496.74,109.17,175.1,236.88,139.57,31.23,5.38,70.67,246.82
38,108.14,,49.83,61.88,251.3,8.97,204.35,594.79,1041.03,59.71,247.74,456.95,134.83,52.07,9.7,47.35,326.7
39,108.25,,44,46.71,246.92,6.96,310.05,117.34,1038.62,89.17,290.84,517.6,183.23,35.43,5.89,46.34,362.88
40,176.55,,53.94,59.91,240.3,21.46,203.25,181.57,485.02,114.2,308.4,431.57,240.51,38.46,9.33,64.73,510.1
41,119.8,,28.87,73.94,233.99,3.49,340.86,466.29,463.55,89.38,209.62,396.42,143.12,41.77,4.8,46.53,392.38
42,68.72,,23.02,67.14,272.69,6.97,429.79,372.45,1057.01,52.83,394.62,274.45,125.26,23.57,4.98,42.67,155.47
43,85.33,,41.52,50.74,218.3,23.28,443.02,138.32,954.53,61.63,428.79,331.61,179.85,21.62,4.07,66.57,313.09
44,140.13,,47.09,45.85,377.55,18.47,131.64,191.23,730.81,65.13,313.37,404.5,204.75,31.66,1.12,61.27,461.11
45,82.51,,31.96,73.79,263.48,43.79,406.16,209.44,518.21,96.25,786.96,125.78,128,57.64,2.52,29.25,273
46,68.76,,16.69,72.86,442.96,108.18,304.57,464.15,752.41,87.49,323.88,216.7,137.84,16.46,3.44,55.86,277.98
47,23.37,,35.62,44.43,291.33,73.17,369.07,133.69,1087.97,81.19,485.12,264.62,193.13,24.01,3.91,64.03,290.52
48,50.5,,47.59,39.26,416.3,225.86,125.91,413.76,408.76,78.05,525.83,396.92,225.62,38.79,,93.61,305.51
49,44.56,,32.98,59.08,680.24,29.53,398.82,192.07,345.28,193.64,279.83,149.89,102.64,13.27,3.24,67.08,311.73
50,19.58,,14.36,74.08,500.67,59.65,379.62,411.25,747.46,124.29,337.23,90.39,137.54,16.29,3.89,64.34,305.68
51,15.13,,33.39,31.69,437.03,234.52,585.43,306.77,759.37,101.02,348.15,336.44,193.43,30.74,7.78,63.81,298.04
52,34.69,,41.17,34.89,456.58,27.82,204.27,151.72,1204.35,122.8,371.3,278.71,187.35,9.61,2.07,80.75,306.51
53,28.26,,24.93,46.74,973.53,44.57,310.88,162.48,815.77,155.12,535.31,130.29,107.02,13.9,2.08,53.68,437.35
54,18.97,,24.01,71.9,739.45,68.32,247.78,313.84,710.71,104.24,338.11,152.01,138.1,7.82,3.1,36.81,444.47
55,18.84,,26.32,31.43,698.64,29.93,353.16,246.18,540.45,42.06,403.61,169.77,200.73,32.69,2.73,54.9,429.73
56,36.86,,46.45,30.31,705.69,47.55,424.93,163.72,616.79,77.89,436.49,289.31,188.95,20.11,4.86,72.22,457.96
57,55.73,,29.11,42.48,613.63,30.34,282.78,173.24,629.75,200.37,303.29,149.61,107.48,22.82,2.67,55.78,424.32
58,18.7,,44.9,69.15,1101.04,231.27,282.41,547.01,667.6,211.35,365.16,171.15,141.2,22.33,3.67,58.85,457.17
59,15.12,,36.49,30.88,594.14,58.46,240.64,277.82,466.29,209.27,429.44,300.76,196.76,27.57,2.65,121.05,319.38
60,53.41,,61.33,30.46,1336.98,46.37,457.62,180.08,506.55,60.31,426,191.41,204.86,17.45,4.64,105.23,238.24
61,40.31,,37.83,32.95,998.62,40.28,368.13,234.15,300.94,235.02,388.33,208.83,120.59,61.04,1.95,60.35,191.28
62,24.55,,42.01,66.28,1050.02,15.5,290.17,427.39,409.29,232.17,347.21,217.72,170.76,7.1,2.45,39.9,251.16
63,8.03,,58.76,29.35,716.5,30.21,237.91,1730.46,339.11,257.8,376.57,348.88,210.15,88.64,4.67,62.2,349.56
64,12.68,,62.6,28.59,1229.93,19.7,323.73,370.15,605.1,143.92,505.73,389.41,201.88,87.1,8.04,47.49,303.79
65,5.96,,21.14,32.01,892.85,22.07,399.38,456.7,421.05,76.63,325.46,381.56,353.16,34.62,2.9,43.9,350.38
66,17.29,,41.33,71.02,978.51,18.58,362,214.37,232.87,195.98,591.23,300.35,162.81,6.42,5.18,180.5,270.29
67,10.98,,86.61,39.76,137.36,14.55,203.62,249.98,332.78,134.41,405.4,320.94,211.87,60.74,5.31,190.24,337.68
68,26.91,,33.97,34.34,1129.74,35.67,312.02,205.11,677.56,106.93,665.07,457.15,196.87,29.54,4.39,45.76,289.4
69,3.78,,37.54,30.14,539.78,8.9,318.56,89.44,664.94,168.22,429.08,400.96,134.67,61.2,4.12,32.81,266.23
70,21.45,,36.91,65.71,783.1,36.17,63.44,301.26,578.31,58.48,361.75,253.76,455.67,20,0.28,279.28,122.83
71,7.74,,94.99,46.58,66.09,60.31,246.6,448.31,389.98,19.77,137.97,271.8,216.56,46.48,3.9,18.4,414.43
72,13.5,,40.17,61.09,117.79,84.71,263.89,1749.42,518.13,26.16,107.16,239.87,230.75,41.44,3.2,18.16,119.6
