Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,4,,32.72,79.85,54.1,39.89,210.01,412.69,242.5,43.81,370.84,317.44,45.72,139.29,96.06,557.1,461.1
2,8,,65.51,43.67,80.11,78.44,2503.09,588.35,404.51,60.44,517.45,461.4,32.53,93.98,122.28,458.38,467.39
3,6.94,,83.35,23.04,47.42,174.17,945.53,240,316.07,43.69,465.62,284.36,108.19,94,76.4,251.44,240
4,3.15,,99.76,10.33,42.25,124.11,1294.73,191.3,516.78,83.23,346.35,728.06,70.87,104.25,88.66,115.74,405.14
5,6,,54.24,109.32,44.63,67.91,223.23,462.7,352.53,58.49,330.09,363.6,199.43,121.1,86,418.4,482.51
6,5.13,,58.48,52.35,73.78,109.85,3087.66,831.3,470.36,151.77,588.54,541.21,62.64,63.48,203.09,468.13,553.21
7,5.2,,67.34,24.44,37.52,196.24,1112.85,234,304.83,96.94,336.7,341.37,185.33,294.04,65.59,232.36,253.77
8,7.67,,64.34,10.28,33.18,153.33,1310.23,323.1,531.36,99.76,385.51,304.82,86.38,101,82.55,122.2,279.89
9,11.33,,42.92,111.86,39.22,190.64,241.16,348.52,405.49,97.25,447.09,610.7,106.2,145.05,62.58,405.28,451.29
10,15.6,,49.91,55.18,60.85,475.83,3093.23,996.68,520.68,113.71,457.26,348.5,109.07,119.83,162.57,412.63,508.77
11,4.4,,55.23,38.01,44.49,279.09,1312.96,276.21,419.95,133.36,308.56,239.51,300.81,81.73,63.99,207.73,365.6
12,17.5,,57.57,12.63,38.18,132.64,1540.01,339,628.98,93.86,266.02,284.13,220.24,117.44,76.4,176.37,373.56
13,9.23,,36.76,104.14,30.71,168.7,245.81,341.76,536.57,43.38,394.28,350.38,191.62,142.66,56.33,207.77,457.96
14,4.83,,29.09,45.95,75.17,163.98,3292.1,924.3,561.88,151.9,533.73,404.36,174.61,164.95,149.11,248.26,517.43
15,18.9,,40.85,41.02,28.16,287.28,1745.62,195.45,452.6,126.92,364.94,428.73,261.27,107.85,73.54,265.49,382.3
16,23,,58.87,10.64,23.97,171.08,4511.81,351.47,678.78,91.43,304.6,390.75,244.38,86.96,100.73,166.58,379.88
17,14,,64.26,103.24,30.55,208.06,448.87,326.45,708.93,103.06,276.83,605.57,183.25,105.69,65.12,156.98,473.41
18,21.07,,39.88,27.66,26.63,214.04,2471.43,773.25,638.6,141.98,462.35,486.63,372.74,109.76,189.59,223.09,352.01
19,25.2,,40.66,66.35,31.31,336.03,1388.06,115.82,440.76,118.86,534.29,408.88,238.26,61.85,103,117.16,261.18
20,15.69,,47.78,21.02,26.67,114.43,1393.67,307.63,639.51,94.89,576.63,552.18,281.42,63.43,113.94,168.81,367.89
21,21,,42.97,99.96,32.84,195.08,277.82,399.72,741.4,87.91,381.53,540.05,178.08,69.05,97.46,132.02,550.78
22,28.44,,39.87,31.57,104.59,141.31,1365.35,891.87,612.98,133.18,896.24,578.98,382.5,104.78,160.9,201.41,510.4
23,25.93,,33.07,61.53,28.14,312.79,1606.05,169.12,500.76,129.3,491.74,501.9,139.25,127.2,71.27,128.98,304.75
24,25.42,,67.15,20.99,32.52,177.96,1942,274.87,583.96,95.51,442.78,813.94,326.71,79.64,86.05,111.34,379.53
25,17.83,,41.56,55.27,33.07,232.69,289.43,453.76,624.89,79.85,403.37,447.29,73.23,99.94,53.59,70.36,502.06
26,14.22,,54.67,17.61,71.43,230.6,2066.76,829.29,666.06,116.08,923.28,499.83,247.87,224.73,114.53,147.25,480.43
27,31.66,,31.52,63.35,39.21,297.34,1141.96,230.18,362.01,101.71,408.57,537.2,135.16,71.69,65.05,139.61,361.68
28,25.43,,41.75,25.41,28.01,197.23,2196.44,270.07,430.14,98.18,299.95,769.05,309.34,118.74,96.34,124.6,419.33
29,20.54,,14.3,40.96,32.76,320.62,344.73,363.73,1119.52,88.48,430.85,481.63,109.89,39.8,73.89,87.94,488.45
30,25.74,,14.58,22.52,53.83,217.66,1509.93,863.45,1159.19,98.83,909.84,749.98,184.96,65.47,114.43,117.92,420.81
31,32.68,,73.27,65.88,48.75,270.22,1031.32,268.31,621.2,106.05,555.43,712.31,56.4,62.98,68.5,74.04,386.95
32,16.28,,108.14,22.08,51,290.1,2340.92,230.07,346.42,97.9,349.53,679.7,154.14,64.06,155.65,96.82,428.86
33,14.64,,173.07,43.93,33.52,279.08,410.98,325.31,695.41,107.21,348.68,620.62,146.27,73.07,73.09,86.65,526.34
34,14.58,,95.79,29.37,56.07,356.57,841.98,1150.29,795.61,92.21,805.75,756.44,204.04,91.28,114.22,146.79,460.04
35,16.92,,77.02,75.74,45.61,312.52,623.1,375.22,611.79,110.11,470.7,748.65,63.82,42.64,140.31,105.08,599.22
36,24.64,,132.93,23.07,54.74,312.24,1514.93,318.8,370.28,119.17,283.73,781.77,132.3,45.7,57.1,130.08,686.41
37,12.08,,279.57,49.57,42.68,177.82,591.03,326.29,713.6,118.59,276.9,561.42,139.62,96.71,55.09,112.33,693.22
38,27.12,,81.48,24.68,62.27,480.74,946.16,1070.1,695.33,86.24,703.89,647.41,221.66,55.19,80.97,125.93,591.3
39,21.46,,96.2,61.83,46.21,568.63,439.27,377.34,523.87,101.82,509.91,704.69,80.12,51.44,79.33,130.48,622.72
