Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,3.5,,20.41,6.58,37.44,101.69,365.94,60.5,34.81,309.56,99.42,270.67,180,212.42,4.41,190.73,252.64
2,8,,57.52,14.42,4.84,183.4,1103.74,325,44.28,478.5,155.75,406.64,153.63,68.96,7,144.03,140.87
3,13.88,,96.21,5.52,4.46,71.52,573.99,97,29.39,427.87,118,150.68,110.34,230.49,12.97,149,195.1
4,7.36,,27.41,1,50.54,37.76,232.37,186.2,84.16,173.74,109.25,265.16,217.76,117.85,10.78,193,207.4
5,12,,67.62,13.7,36.65,94.15,390.43,168,80.96,208.47,96.95,362.98,160.25,152.21,7.33,147,247.73
6,0.6,,97.72,1.84,5.22,128.38,1689.03,631,104.87,218.63,140.3,311.55,139.32,141.45,14.29,167,181.29
7,2,,36.84,1.69,4.9,79.35,811.27,196,52.94,440.24,143.65,223.15,115.47,399.65,10.32,228.5,224.68
8,,,79.19,1,62.09,60.07,242.79,248.6,128.89,377.91,86.9,249.08,180.98,61.3,12.46,106.09,262.16
9,2.4,,52.98,4.51,70.07,73.11,512.53,143.66,118.92,291.43,75.31,405.55,120.85,93.62,28.2,173.16,316.27
10,2.04,,51.89,3.84,1.95,213.31,1709.64,615.9,83.84,323.66,139.84,446.6,207.44,90.68,50.97,485.14,212.72
11,2.88,,40.23,2.38,8.95,90.96,860.32,398.88,55.24,277.16,160.43,161.33,129.91,128.56,11.46,636.97,310.31
12,0.2,,29.41,1.22,56.46,99.75,611.84,551.97,153.35,330.04,169.55,335.86,199.79,152.41,24.47,484.44,320.99
13,3.5,,48.73,0.85,70.89,56.4,562.17,330.15,79.58,252.17,142.37,412.67,114.33,101.45,18.93,259.6,327.04
14,6.36,,30.74,85.35,2.74,187.07,1544.59,467.82,134.47,332.06,194.31,553.9,204.95,140.35,13.74,524.08,351.67
15,12.4,,44.14,2.05,17.43,88.78,761.25,175.85,92.19,243.83,143.99,299.56,119.24,123.29,28.95,746.9,313.58
16,21.03,,36.06,0.4,1.29,71.51,401.79,266.12,154.29,299.02,165.72,403.15,219.15,119.2,24.77,734.33,332.22
17,10.47,,44.46,27.67,1.6,58.75,658.64,380.18,107.69,393.17,141.83,218.69,130.71,108.7,17.31,446.51,316.29
18,,,57.87,220.86,10.69,116.36,1060.3,231.39,208.39,446.73,296.9,442.86,68.42,225.22,21.88,491.37,621.53
19,17.63,,54.05,60.54,6.11,55.2,590.58,301.34,378.33,336.59,103.05,261.9,286.46,243.23,75.4,646.28,295.93
20,17.38,,21.4,61.08,8.77,43.27,570.8,245.21,290.94,381.17,122.24,170.71,233.71,354.88,33.73,680.68,450.39
21,12.17,,38.25,18.02,1.68,497.95,560.03,234.57,290.05,355.63,116.87,155.51,123.25,271.46,26.94,584.72,351.54
22,7.47,,42.12,235.96,11.82,64.65,900.47,212.19,194.32,485.73,374.02,322.22,161.7,206.31,27.29,654.79,645.82
23,12.55,,58.22,121.81,5.29,76.4,709.71,281.98,230.9,376.19,131.87,235.12,384.74,209,26.69,841.65,320.24
24,15.97,,30.69,63.45,10.83,18.96,839.63,206.31,306.94,383.01,138.7,308.52,261.18,288.53,23.37,786.03,514.03
25,11.57,,37.01,17.28,1.9,22.99,631.23,210.04,261.48,323.39,102.05,171.92,165.53,96.9,21.59,544.87,294.95
26,9.33,,47.88,233.92,11.54,47.05,1384.98,198.36,133.21,425.03,388.94,413.3,70.64,177.67,42.4,592.48,340.92
27,20.6,,54.02,126.45,5.26,9.36,872.13,475.36,208.03,375.3,89.69,275.53,406.4,178.93,14.07,538.4,412.93
