Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,307.44,,311.66,825.27,127.91,1129.82,1603.37,828.43,1068.22,1737.52,409.73,2606.56,3456,1330.58,949.29,3570,4390.07
2,203,,132.15,509.85,128.43,1238.17,3070.49,995,1206.05,1133.93,716.65,4776.77,2849.58,631.98,752.74,2740.63,2429.27
3,605.45,,199.54,263.48,134.75,527.73,1557.13,567,695.14,933.03,808.9,4432.56,3941.39,517.63,949.98,2170.52,2771.73
4,342.79,,259.39,209.39,104.08,761.83,3678.39,962.28,1196.08,827.58,673.35,3851.54,1927.6,573.02,1234.38,1956,3732.97
5,419.6,,233.12,836.62,129.47,862.52,2385.83,857.16,1380.39,823.91,734.1,2770.68,2055.27,653.08,1038.55,3123.57,5370.41
6,255.89,,280.13,496.79,145.14,549.24,4692.4,981.13,1331.31,916.45,871.22,6507.02,1336.93,603.24,864.03,2678.4,2811.88
7,427.67,,451.38,208.3,137.01,567.29,2047.58,1586,665.73,1723.26,882.49,4380.16,2149.58,670.94,650.92,2037.92,2476.79
8,391.39,,350.34,187.35,120.36,441.29,4179.08,954.78,1202.39,1504.33,775.8,4494.81,1698.5,972.41,690.56,1994.76,3904.57
9,229.22,,133.82,869.76,132.78,1215.16,2282.31,1043.66,1479.01,1334.41,746.13,3836.7,2063.33,696.76,697.15,3006.36,4900.61
10,202.62,,285.68,534.17,163.35,653.96,4448.39,1313.12,1463.43,1615.06,957.14,5617.54,2062.38,1148.59,1241.73,2318.24,3199.98
11,416.21,,401.4,329.18,150.31,653.95,2242.57,1645.6,1151.93,1256.75,907.77,5518.2,2041.12,952.04,764.55,1323.33,2547.31
12,490.61,,305.43,249.53,121.51,415.96,2676.11,833.59,2139.44,1144.66,768.03,3623.39,904.2,789.74,704.46,1699.95,3966.83
13,172.54,,77.83,864.82,147.47,1206,1693.78,926.35,1786.25,1135.7,712.64,5982.05,1999.45,843.81,613.71,2725.07,5095.13
14,215.79,,253.5,177.35,157.02,904.68,4624.52,1368.75,1572.45,1385.55,934.15,3981.34,1924.6,638.16,482.38,2480.62,3481.95
15,204.81,,534.82,352.77,144.1,603.41,5427.26,1366.21,1279,1005.24,1204.1,4289.76,1927.56,779.47,546.47,1184.2,3038.7
16,405.51,,283,321.55,122.43,543.57,2653.98,851.18,2127.09,1135.03,896.54,5729.88,796.97,831.31,659.52,719.01,4619.35
17,474.45,,181.34,863.25,126.26,695.8,2302.39,889.51,1648.62,1469.73,836.78,4293.01,2012.37,846.79,686.07,2680.3,5409.4
18,128.06,,297.8,139.27,132.45,756.23,4003.29,918.32,1352.13,1499.35,1213.08,4803.65,1025.57,573.53,702.47,2024.43,4422.48
19,227.63,,343.29,386.13,150.39,576.28,4402.47,1733.33,1457.38,1321.77,1655.37,9150.63,1140.84,508.07,888.63,1333.51,3500.24
20,346.34,,195.62,134.45,79.98,313.72,3633.91,1017.62,1914.52,1239.59,1602.41,10208.32,862.53,645.18,1003.15,990.54,4963.33
21,374.36,,118.27,732.03,101.46,416.49,2182.02,1108.2,1806.96,1574.69,1411.62,8940.12,1796.88,730.35,918.68,1713.02,5638.47
22,230.07,,272.76,239.69,120.43,1058.39,6376.4,1324.86,1416.21,1349,1062.87,5931.6,1052.51,1366.6,955.58,1943.21,4920.1
23,371.01,,439.37,359.73,188.32,1034.05,4497.98,1853.11,1754.81,1185.07,1704.37,11219.64,1403.54,758.42,977.11,1017.38,3834.05
24,469.95,,217.85,158.13,180.99,458.21,3120.88,1047.37,2242.96,1392.07,1956.4,9345.87,932.26,1176.25,971.93,883.98,5185.91
25,502.07,,148.76,585.54,134.49,414.03,1871.74,1140.31,1952.2,1366.92,1494.65,8606.37,1681.95,988.95,913.22,1342.13,5507.31
26,365.08,,251.25,208.99,119.87,892.13,4546.43,1366.64,1381.57,1215.19,1482.05,5829.71,1096.28,1481.43,1043.8,1376.81,5167.86
27,1064.91,,589.69,381.77,172.98,806.7,4282.9,1846.45,1572.99,1085.63,1849.67,11451.72,1576.46,1146.03,1129.61,897.97,4053.87
28,625.08,,376.16,158.03,122.69,370.39,2669.64,1101.43,2114.71,1110.17,2097.23,8677.69,958.53,976.63,1127.84,957.01,5381.3
29,197.72,,389.31,237.59,110.25,488.33,1603.58,1303.18,2330.3,1400,1496.08,6970.05,1630.1,1177.36,959.23,978.03,5628.84
30,392.26,,502.82,205.31,119.17,858.14,3159.06,1439.2,1591.54,1431.82,1604.46,7247.19,736.82,1488.28,1034.51,816.8,5298.08
31,613.86,,259.96,529.77,124.46,637.32,3624.54,1431.27,1356.06,1499.89,2003.43,10240.49,1135.89,912.21,1072.03,790.63,4164.04
32,897.22,,383.52,141.06,152.71,682.94,3021.37,1126.79,1789.64,1067.24,1848.54,9773.12,776.29,1256.43,1106.95,907.77,4701.5
33,325.73,,168.8,226.43,117.83,372.02,1925.18,1375.73,2485.69,1318.36,1392.28,10461.3,1609.95,742.69,872.01,954.53,5598.89
34,454.77,,332.78,190.1,125.28,387.7,4101.64,1749.31,1761.73,1753.28,1836.55,7181.28,957.53,619.49,1075.4,895.67,5743.52
35,604.5,,244.55,293.99,123.87,790.49,2735.14,2444.59,1585.19,1126.84,1620.06,9255.54,1022.84,921.69,1163.99,708.39,4379.44
36,631.64,,384.62,143.98,147.12,886.84,2069.48,1429.74,1397.19,1012.21,1066.7,11030.39,844.78,812.34,1168.18,748.51,5152.86
37,203.76,,174.82,235.06,127.49,505.01,2236.31,1497.13,2538.56,991.39,939.8,8780.78,1637.89,524.14,1242.3,739.56,6159.2
38,230.92,,241.31,219.64,134.69,447.96,3642.13,1902.42,1717.56,1715.01,1552.48,10432.14,785.96,425.76,1205.06,595.69,5960.68
39,483.98,,252.15,310.06,127.79,1331.02,2974.66,2344.56,1314,1393.09,1732.29,10042.56,972.87,640.68,1142.04,559.81,4237.94
40,280.92,,272.52,162.39,158.71,763.28,2129.26,1597.41,1370.05,821.35,1304.21,9471.14,838.45,527.4,1164.65,682.89,5235.14
41,108.42,,177.79,173.32,127.16,331.4,1963.38,1155.47,2043.13,1053.41,1230.15,8721.04,1436.07,395.82,801.29,707.15,6430.05
42,168.36,,97.54,231.81,140.49,412.96,4063.72,1635.67,1748.99,1611.63,1657.47,10480.48,695.97,667.99,750.86,578.3,6446.16
43,392.93,,154.66,354.01,134.51,1459.88,2833.73,3886.43,1438.69,1290.71,1722.33,10841.99,939.65,724.68,819.04,565.17,4413.05
44,226.05,,207.11,153.74,121.11,337.48,3019.67,1534.59,1281.43,1043.19,1159.86,9377.28,852.02,430.83,948.58,605.35,5235.04
45,144.11,,103.56,177.94,85.81,266.95,1312.26,1315.93,1252.96,1169.55,1168.85,8178.47,1480.71,393.65,445.49,529.71,5350.9
46,92.99,,38.09,209.46,152.95,234.66,2966.48,1470.78,1630.26,1582.78,1102.06,9980.39,726.75,474.57,747.47,513.22,5363.73
47,164.36,,109.65,441.56,123.02,632.87,2574.11,3714.69,1327.82,1534.79,1618.37,16700.74,1051.34,1098.01,898.9,529.9,3289.78
48,317.57,,191.83,134.84,102.13,1581.61,2372.85,1955.88,1130.1,1292.85,944.82,9740.43,927.62,623.23,1110.24,594.88,3331.88
49,142.31,,95.57,169.94,262.49,287,1156.18,1249.51,913.49,1212.88,640.11,8858.87,1604.01,999.75,737.17,586.88,4609.22
50,286.25,,52.54,231.91,183.67,257.79,2623.81,1652.84,1500.45,1531.55,1027.73,10211.41,776.56,715.35,712.18,557.26,5176.39
51,642.97,,109.9,318.02,261.97,816.47,1760.76,3294.78,974.86,1427.17,1169.35,12631.39,1120.43,812.72,739.64,435.66,3839.43
52,386.18,,191.58,113.62,164.07,965.79,1846.82,2392.84,888.82,1498.31,868.47,11017.27,1042.83,1166.19,893.98,797.88,3589.79
53,153.72,,77.19,145.53,204.38,294.17,1200.19,1490.61,1016.54,1355.48,673.26,10184.25,1658.46,788.33,644.27,638.75,5357.73
54,118.2,,259.87,213.12,124.97,401.37,2881.42,1478.98,1647.6,2365.7,872.35,9878.52,905.63,1356.75,611.68,738.18,5566.18
55,95.43,,160.34,296.61,163.37,379.2,1477.95,2938.16,1182.68,2179.21,1237.92,9972.04,1128.64,705.76,570.69,504.78,4418.02
56,359.43,,96.41,97.97,344.07,297.7,4302.25,2545.08,1265.04,1594.03,801.64,9519.08,1031.07,500.5,887.26,658.3,3910.72
57,112.14,,79.18,117.45,139.59,467.02,1347.24,1673.23,1065.83,1723.21,1034.98,8219.2,1710.6,602.58,644.73,399.06,5286.18
58,122.67,,117.24,213.17,192.56,584,2373.98,2275.16,1832.03,1829.44,892.32,10144.06,981.33,718.33,1024.62,639.02,5994.06
59,83.31,,139.07,267.72,166.91,438.42,1421.32,1615.02,1774.8,1912.35,1833.46,9142.6,1217.38,539.5,286.02,440.63,4461.04
60,154.77,,457.24,84.91,473.02,329.95,3364.09,3247.63,1156.27,2085.82,1116.22,10585.82,917.87,466.45,297.05,414.94,3991.76
61,89.36,,191.63,78.59,152.43,260.51,2167.04,869.86,1432.14,1950.62,1320.56,9840.17,1444.74,596.72,225.38,394.84,4614.65
62,91.03,,124.28,194.76,385.58,486.67,2544.23,1176.65,1435.4,2164.95,1026.91,7906.09,773.98,537.05,297.47,668.98,6170.41
63,235.35,,225.74,271.12,304.41,300.14,1688.81,1561.92,1787.22,1978.51,1577.66,8693.92,958.11,632.4,298.06,433.88,4547.89
64,136.92,,266.2,82.68,189.77,222.38,2464.78,4306.05,1374.09,2443.1,1662.48,8485.46,962.38,616.85,335.44,503.47,4057.55
65,9.3,,296.7,79.78,166.84,370.97,2318.82,816.57,1297.28,2384.5,1764,9843.33,1191.82,658.94,364.21,382.62,4851.36
