Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,5.05,,19.38,107.83,49.87,49.26,650.9,517.53,291.07,759.65,233.57,127.95,113.35,83.13,78.71,208.2,214.85
2,,,53.36,90.18,79.09,175.36,820.33,430,320.03,237.01,318.95,234.95,125.95,94.69,132.59,244.46,214.12
3,5.08,,52.44,42.17,52.74,92.24,408.7,201,255.94,326.36,412.5,143.62,64.32,102.66,25.58,206.03,327.43
4,6.05,,69.39,9.61,47.76,54.51,304.03,521.38,195.41,356.27,355.25,319.95,104.94,107.26,91.96,47.5,155.75
5,7,,39.65,150.74,45.62,30.64,785.92,611.2,251.37,350.43,303.5,282.24,125.53,119.85,82.45,167.5,159.09
6,,,129.64,111.65,63.12,51.52,1380.81,914,353.21,463.1,384.9,190.34,66.23,87.62,95.64,213.5,285.03
7,,,57.12,46.73,52.87,78.01,584.78,475,242.15,454.7,397.03,393.66,172.15,262.23,21.99,155,315.32
8,,,87.58,8.6,88.31,72.41,338.19,528,183.77,358.75,340.08,195.6,119.51,93.09,36.9,58.61,318.84
9,,,64.83,163.23,44.71,68.04,696.86,607.48,417.87,334.67,312.98,316.16,117.56,67.43,50.24,108.88,269.64
10,,,67.36,112.83,67.86,125.62,1388.25,886.15,353.48,330.59,463.24,317.1,101.59,106.85,77.36,191.34,280.6
11,,,91.5,54.47,79.07,124.33,650.21,425.99,345.2,346.33,358.09,138.06,191.11,85.39,20.35,412.96,308.04
12,,,59.14,11.1,73.63,90.17,814.6,492.81,295.9,335.2,388.89,211.54,288.49,179.32,25.83,127.17,306.8
13,1,,61.12,146.45,30.62,118.77,738.81,606.59,446.14,269.14,375.91,187.93,128.74,112.58,29.8,412.8,272.89
14,,,42.15,55.18,67.76,111.66,1532.57,821.86,395.02,348.56,554.83,368.45,126.4,243.4,45.43,245.4,660.96
15,,,59.05,49.52,51.85,141.88,1716.83,344.98,338.18,321.11,424.83,351.96,215.65,84.13,34.33,312.03,427.22
16,,,95.71,47.34,43.35,63.46,568.63,261.31,443.94,296.49,636.82,370.82,350.5,97.61,33.93,196.49,307.35
17,0.4,,99.67,146.32,39.4,217.56,1284.4,593.39,595.26,342.06,301.83,191.64,192.18,64.54,41.2,331.94,231.94
18,0.8,,42.49,66.18,52.24,83.57,1727.49,595.61,729.09,790.27,217,722.98,135.22,87.04,42.45,247.03,303.75
19,,,88.2,126.27,76.24,89.94,1256.28,225.49,770.62,469.72,303.95,299.06,586.97,60.6,42.89,272.64,235.17
