Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,276.75,,9926.05,74,15113.76,6543.52,651.8,269.9,10595.26,1792.9,415.9,2369.2,934.25,1947.01,3450.97,842.55,388.5
2,441.2,,12041.5,98.5,18548.58,7513.21,1025.2,647.4,23480.98,2115.48,1282.3,2844.4,962.22,1671.39,3532.1,354.2,359.6
3,635.86,,12129.7,29,12219.87,5066.47,1075.1,419,24195.19,1799.25,1637.56,3243.3,3710.3,2470.63,2950.54,1663.35,220.3
4,1686.82,,26834.55,173.9,14346.58,13598.43,1155.1,565.97,9496.76,1581.84,1877.29,2684.1,2500.26,2466.48,3313.59,388,1134.6
5,241.78,,13044.58,137.9,14455.46,6379.17,684.2,215.54,10721.16,1382.79,669.3,2454.4,946.53,2475.93,4125.96,362.4,613
6,410.9,,17181.25,252.6,18650,8241.74,1085.5,651.91,23490.03,2253.87,4329.83,2521.2,1159.1,1607.21,4231.83,433.6,671.84
7,565.6,,14688.28,62.5,11852.85,11521.09,1061.2,462.16,25472.41,1602,2450.84,2710.8,3644.43,2423.61,2833.85,1886.06,1054.11
8,997.64,,30619.56,137.7,15020.8,15467.74,1174.1,595.54,9003.35,1348.39,1795.91,2386.9,2382.98,2673.15,2814.45,430.56,1440.81
9,168.24,,14245.29,128.98,13449.12,5276.47,657.1,228.88,10129.78,1781.96,1191.9,3096,1471.53,2378.06,4321.85,330.34,751.03
10,391.03,,18438.18,240.09,20046.44,7927.36,1141.48,795.59,24169.43,2155.72,5455.34,2378.65,1199.92,1626.45,4437.94,501.86,692.02
11,683.62,,15894.49,71.02,10077.89,14507.68,1192,584.42,28073.18,1890.17,2338.78,3079.86,3992.05,4165.9,3423.49,2017.07,1214.35
12,1073.93,,40543.39,237.5,15887.52,18850.78,1305.96,704.93,10381.3,1478.43,1794.55,2140.64,2593.96,5724.37,2539.47,566.77,1767.98
13,233.77,,15306.65,128.37,14664.74,9066.6,656.87,212.58,10556.02,2175.19,1283.69,2432.31,1491.49,4749.89,3889.8,408.21,747.76
