Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,,,10.67,,9.34,3.82,178.96,547.45,543.23,2,120.15,128.55,127.13,130.32,11,44.33,305.18
2,,,23.19,,8.2,32.27,258.58,405,665.68,20,172.5,387.22,95.55,13.8,5.33,42.31,231.66
3,,,18.55,,11.79,55.6,234.2,153,822.76,11.15,101.74,57.23,110.08,48.27,1.42,26.17,306
4,,,22.35,,9.13,95.78,179.4,82,966.9,9.5,87.7,70.94,45.44,31.22,2.32,27.81,370.58
5,,,18.87,,14.5,46.75,197.67,519,630.95,20.36,118.75,52.69,115.06,91.49,5.54,39.59,508.89
6,,,13.72,,6.74,78.26,265.9,397,587.44,7,103.8,60.56,109.48,113.59,6.58,44,465.15
7,,,19.88,,6.6,58.45,273.9,72,638.08,8.5,96.08,47.41,115.97,246.55,2.9,20,389.89
8,,,12.58,,6.37,126.15,178.39,59,799.63,8.7,172.36,52.77,40.22,43.44,1.9,25.07,488.93
9,,,22.71,,9.32,107.21,168.78,489,241.33,14.48,98.76,51.11,98.9,82.98,4.9,47.95,393.58
10,,,31.82,,6.49,217.56,260.26,456.43,449.9,16,93.61,40.57,109.75,133.78,5.11,47.82,575.1
11,,,56.8,,10.96,72.37,354.27,208.53,808.65,10.65,89.82,111.75,182.05,106.75,2.86,194.93,503
12,,,40.42,,9.75,59.12,383.14,198.22,780.74,7.95,130.42,74.08,198.45,101.51,1.48,154.79,501.81
13,,,24.17,4.87,8.25,55.94,172.8,405.5,572.1,14.26,137.39,82,76.27,104.8,18.03,320.48,424.19
14,,,24.26,,6.47,51.24,291.11,467.77,798.33,16.61,88.73,128.5,100.73,113.41,5.02,53.74,474.51
15,,,50.83,0.14,5.2,92.81,1451.26,253.4,884.32,11.16,80.17,79.7,168.6,91.13,4.37,255.04,485.38
16,,,73.61,0.09,2.19,87.67,352.61,218.6,903.29,8.98,84.42,100.86,210.36,86.68,6.8,385.52,529.18
17,,,52.85,21.46,3.09,43.48,127.43,409.05,894.17,11.95,112.56,95.41,142.55,156.8,11.58,274.13,422.41
18,,,24.75,465.98,2.24,71.7,191.89,401.18,947.34,44.45,70.98,39.22,8.69,191.47,15.56,91.38,754.56
19,,,15.08,88.28,3.92,58.99,1232.89,310.38,1374.96,21.06,42.45,34.61,106.48,206.43,14.56,77.2,401.9
20,,,17.38,68.58,3.94,42.8,351.89,234.53,1197.61,19.3,38.49,10.03,397.09,146.71,17.34,276.99,584.86
21,,,12.17,17.73,2.51,1011.89,125.38,418.46,1070.77,19.77,35.18,15.97,86.69,128.09,14.18,281.57,420.58
22,,,34.6,490.01,65.96,68.46,383.92,339.29,1000.63,26.58,61.56,28.74,168.29,102.22,17.13,167.64,518.58
23,,,12.75,223.93,5.42,83.42,671.46,317.85,1380.12,20.71,19.77,20.88,52.12,130.69,11.39,120.7,423.03
24,,,16.6,118.96,3.98,27.57,334.57,175.96,1440.96,20.26,32.36,88.27,143.12,139.01,9.7,139.21,715.78
25,,,15.07,22.94,2.71,45.5,130.52,409.16,1006.81,14.65,25.58,30.47,57.87,59.83,13.24,306.27,427.61
26,,,35.37,453.6,3.75,14.29,410.46,313.52,1184.17,17.62,73.3,41.79,68.66,170.32,21.1,305.71,451.05
27,,,11.04,238.03,10.34,35.43,753.3,278.71,1318.33,20.02,36.06,36.5,48.12,163.75,13.34,203.14,512.14
28,,,18.35,123.64,5.72,39.1,357.62,172.46,1897.92,21.57,32.35,91.09,226.03,89.72,20.36,193.74,718.35
29,,,14.13,27.06,4.02,186.17,152.14,274.2,2255.88,29.67,30.85,45.8,61.14,39.61,11.85,258.4,476.19
30,,,24.35,429.87,4.3,54.3,338.21,234.07,1912.33,32.41,151.84,46.33,64.57,60.97,18.2,322.85,362.53
31,,,3.57,257.87,5.38,50.14,702.9,251.17,1254.3,25.84,36.36,23.97,37.66,143.32,12.85,188.16,495.16
32,,,2.26,120.94,5.01,106.67,327.18,195.57,1453.57,52.12,27.27,269.05,74.8,169.08,8.03,166.65,487.35
33,,,41.17,26.49,4.35,187.66,160.35,247.46,1238.26,50.15,72.49,54.89,47.83,148.18,10.15,137.63,479.38
34,,,25.01,421.69,4.59,201.11,414.33,222.57,1528.88,45.86,115.06,103.72,61.29,111.24,18.96,183.07,368.8
35,,,4.09,218.71,5.28,96.13,281.69,237.97,1203.56,44.72,38.41,40.19,31.58,75.31,9.87,180.18,599.35
36,,,2.47,80.45,9.04,41.98,261.98,139.62,941.29,39.8,39.83,287.56,90.24,43.57,9.68,194.16,713.34
37,,,42.39,35.2,4.48,89.78,173.02,87.31,1648.87,63.52,39.64,46.79,70.73,138.54,16.61,160.57,702.9
38,,,31.63,441.67,4.85,268.12,435.45,183.38,849.06,45.54,155.3,50.39,48.29,49.2,10.88,156.36,480.08
39,,,4.63,216.3,5.77,376.18,251.08,217.69,951.66,56.71,175.56,45.85,53.37,43.96,13.65,202.05,552.26
40,,,2.51,78.15,9.02,92.15,268.59,83.25,585.13,52.79,126.35,34.62,121.04,35.94,24.18,246.31,538.93
41,,,27.82,20.89,4.62,37.1,234.56,67.63,1047.03,69.98,69.33,48.79,64.74,36.16,6.2,221.15,661.43
42,,,14.42,414.91,5.62,86.82,467.66,177.61,723.51,56.86,153.62,70.7,42.44,46.63,2.64,187.68,318.43
43,,,9.79,207.68,6.18,223.06,241.71,224.12,804.96,69.53,207.06,38.55,38.34,24.58,5.91,184.04,288.96
44,,,14.66,89.17,23.21,121.9,282.73,130.71,683.87,50.22,181.02,57.5,87.06,36.63,3.56,209.64,315.82
45,,,19.15,18.97,3.5,46.31,131.95,180.82,919.67,93.5,250.26,106.46,59.26,55.66,2.84,235.49,312.62
46,,,19.35,416.54,13.46,48.09,93.51,123.95,577.39,120.43,98.7,116.17,33.26,29.87,0.65,178.48,271.62
47,,,9.63,147.21,10.92,186.64,188.9,207.54,625.17,105.61,326.61,169.57,40.09,64.21,0.06,193.62,257.91
48,,,8.9,79.85,21.3,15.6,840.43,135.27,604.38,115.06,58.28,118,84.41,63.45,21.73,231.38,292.04
49,,,16.03,20.43,83.36,23.25,113.24,140.97,673.11,243.97,81.81,300.75,88.72,55.65,22.54,213.35,309.28
50,,,21.6,394.57,8.4,51.16,179.63,169.93,471.24,198.28,168.14,192.74,32.88,53.57,13.73,186.29,287.41
51,,,11.14,306.18,23.34,348.95,257.44,20.49,384.88,138.21,182.92,270.06,44.45,52.27,11.36,183.41,252.26
52,,,11.19,66.64,8.06,48.42,219.96,403.26,470.59,175.99,56.87,292.19,79.22,32.09,11.67,203,295.06
53,,,15.53,18.76,1.16,24.03,102.36,149.24,346.01,139.17,112.59,240.32,74.04,50.71,6.06,256.81,304.39
54,,,20.53,402.76,3.92,60.86,199.42,193.14,342.6,130.85,155.31,168.01,39.59,64.77,9.43,154.36,321.29
55,,,13.45,292.41,1.58,459.84,272.17,28.01,356.77,206.96,152.74,292.2,48.01,44.33,3.84,220,360.75
56,,,10.76,55.36,228.28,320.62,260.95,349.95,219.63,285.75,112.62,347.25,37.55,41.58,0.91,247.13,361.7
57,,,6.86,17.19,1,51.64,211.61,26.03,235.52,364.52,119.94,210.85,54.88,23.03,1.97,315.17,358.23
58,,,44.63,401.58,1.53,58.17,335.15,53.01,225.4,441.66,342.71,290.76,24.74,27.9,1.7,167.91,356.71
59,,,9.48,273.01,6.86,52.81,288.42,47.19,95.92,583.23,103.68,393.87,46.02,18.18,2.53,196.01,396.51
60,,,16.27,48.86,37.01,64.59,256.43,172.64,47.43,663.15,137.37,327.37,70.86,50.57,5.38,167.65,367.66
61,,,19.2,14.48,1.16,44.55,217.75,11.53,61.52,442.4,143.44,268.01,45.97,18.91,3.34,235.74,481.8
62,,,49.17,366.72,14.4,36.09,395.15,18.31,76.76,437.67,134.97,381.13,30.67,69.14,0.67,193.77,428.51
63,,,16.21,269.6,11.49,42.09,316.24,63.63,70.54,673.28,36.34,452.46,51.94,76.06,1.8,178.21,492.9
64,,,12.62,46.62,10.16,73.14,207.63,113.42,102.32,766.08,211.6,419.83,34.07,88.38,2.14,214.53,468.24
65,,,27.88,14.07,30.56,56.9,216.67,34.83,83.56,406.51,169.58,220.55,40.92,90.05,4.61,209.92,513.63
66,,,18.35,338.92,18.58,79.68,777.35,16.99,84.28,499.67,278.77,240.23,19.65,103.36,12.7,158.76,430.29
67,,,28.89,240.12,13.45,43.04,381.47,62.35,303.56,455.52,214.95,338.66,56.19,93.57,1.26,172.53,503.33
