Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,168.86,,254.91,148.49,612.25,1311.65,635.93,1012.91,2729.5,1429.89,682.84,685.63,1137,244.31,478.27,3976.33,337.45
2,224,,622.24,178.3,501.32,1626.27,2140.55,851,2765.93,833.73,832.16,1425.85,647.5,118.87,641.66,3701.12,249.86
3,94.58,,321.86,59.24,464.99,516.84,2204.59,963,2595.21,838.99,917,476.86,950.13,590.85,324.26,2340.49,232.32
4,33.87,,205.94,74.79,250.42,1159.84,809.44,549.61,1677.44,1035.84,1336.15,619.71,1168.18,845.2,454.43,2117.81,365.01
5,91.84,,401.72,289.36,610.24,1153.37,642.5,896.95,2543.01,613.64,841.75,774.16,646.8,224.41,333.21,3059.51,289.36
6,134.66,,569.24,185.64,576.92,1835.59,2990.71,738.59,2375.68,762.87,1070.9,1508.59,1050.24,457.55,436.24,3098,286.79
7,68.76,,308.47,56.79,442.85,655.36,2187.01,1091,2324.55,679.5,1019.44,483.34,1110.83,567.51,321.41,2100.08,210.2
8,44.33,,565.98,74.41,198.06,522.76,802.04,625.42,1986.22,868.44,870.11,521.92,1165.11,1130.93,634.55,2086.68,370.47
9,156.03,,484.78,304.99,446.5,1153.21,512.45,1123.9,2493.1,834.89,900.67,862.79,957.33,690.45,224.25,3243.7,327.77
10,224.81,,873.37,204.72,650.05,2108.01,2832.1,1327.78,2327.2,891.63,1139.43,538.96,997.18,670.74,497.02,2785.46,295.86
11,67.11,,237.7,56.14,334.27,824.56,2307.21,1540.8,3133.69,608.58,1550.53,495.39,909.82,610.67,331.54,2658.78,269.38
12,106.93,,264.24,72.2,223.63,997.49,1079.57,1044.81,2221.8,917.45,824.16,665.54,1365.05,1227.65,536.2,3131.99,442.93
13,93.77,,220.71,247.66,372.74,924.63,523.15,1179.62,2533.45,780.34,786.43,841.3,1120.15,816.55,209.11,3079.37,342.93
14,152.33,,958.67,424.55,533.05,1716.4,2466.05,1279.71,2545.7,884.83,976.8,408.58,866.35,377.75,187.16,2369.23,536.72
15,69.8,,290.77,75.15,322.86,602.68,1003,1297.28,2127.05,908.39,1051.02,398.61,833,663.43,266.99,2631.66,356.06
16,49.99,,165.03,51,410.27,762.08,732.33,870.25,2166.2,1222.54,663.3,476.76,1273.64,742.79,336.51,3188.32,458.13
17,113.92,,295.58,246.84,1691.74,807.02,457.79,1066.99,2389.36,919.89,749.67,900.87,2221.23,709.26,500.04,2970.11,386.5
18,61.78,,643.82,379.16,1307.21,1300.37,1566.88,1084.11,2154.26,811.02,409.29,448.6,5335.71,481.03,467.69,2000.31,340.34
19,66.9,,313.19,93.2,332.79,563.04,784.04,991.02,3254.24,986.66,1149.97,256.42,561.51,439.65,473.12,2122.69,201.5
20,48.29,,95.13,62.24,353.67,646.9,677.9,946.2,2341.28,1244.78,792.17,613.29,1205.22,380.03,582.53,2785.55,528.63
