Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,77.42,,54,4.05,152.71,76.86,1230.74,1622.86,2065.72,54.02,186.64,1871.58,33.44,58.81,4.99,154,481.65
2,22.96,,81.5,4.44,136.44,123.26,2898.09,1886,2337.77,210.96,380.69,1342.89,17.76,98.2,4.25,101.42,248.22
3,75.32,,61.78,4.1,157.18,72.76,2217.03,1020,3871.24,526.29,182.59,767.47,95.7,44.84,5.22,139.86,356.89
4,33.8,,65.24,2.04,121.29,31.63,3410.35,670,3859.56,435.65,225.74,439.09,46.07,60.76,6.53,60.63,344.45
5,26.32,,39.5,5.27,169.35,66.44,1702.29,1616.27,2282.13,342.29,170.94,1445.53,76.16,59.54,10.63,136.38,431.46
6,51.75,,69.21,4.72,157.58,75.68,4680.71,1910,2472.49,387,412.4,1543.15,9.51,20.29,19.05,101.4,228.63
7,72.16,,252.47,3.8,190.01,84.47,3561.61,1239,3475.56,288.86,296.62,383.49,24.07,138.73,5.6,68,447.96
8,34.2,,64.27,2.38,205.6,29.72,3325.52,762.21,3612.34,339.56,153.11,491.91,1.5,19.81,18.63,61.95,458.64
9,9.5,,38.15,15.22,235.99,124.7,1699.55,1463.09,2291.84,317.07,203.74,587.34,73.22,15.23,4.13,138.96,585.43
10,29.54,,201.03,9.88,189.29,88.63,4509.35,1777.7,2246.76,392.7,385.85,743.72,44.94,26.72,14.15,92.03,639.3
11,99.8,,170.74,5.63,225.81,71.98,3744.97,1884.87,3494.43,285.34,229.48,606.03,111.74,46.84,5.55,22.11,638.98
12,89.1,,67.6,4.32,218.48,58.06,2383.1,1239.86,2889.91,269.46,361.47,559.82,206.02,83.63,4.47,43.22,701.09
13,33.74,,61.72,13.77,263.53,119.75,2028.51,1941.79,2170.25,292.58,298.69,734.41,161.77,37.04,4.53,45.56,483.16
14,44.92,,194.95,18.3,241.18,153.56,4162.44,1745.55,2452.73,385.63,371.61,894.13,52.11,49,14.62,84.72,472.54
15,17.82,,311.7,7.47,211.16,96.42,3839.47,1655.41,2928.04,259.72,335.87,751.76,190.64,24.22,6.04,30.24,612.05
16,16.12,,89.33,6.92,108.26,232.17,4252.44,1378.73,2564.44,230.63,204.73,735.09,231.65,71.41,7.5,17.79,604.48
17,30.15,,108.01,15.95,165.21,117.42,1801.48,1971.13,2050.23,303.66,323.32,998.07,199.26,52.37,6.7,19.75,378.58
18,115.54,,138.44,42.44,161.79,224.63,3252.44,1441.57,2667.27,269.74,343.44,2066.15,32.54,54.3,20.37,54.27,207.56
19,95.69,,262.84,35.55,158.65,225.81,3451.23,1856.33,2727.66,257.27,352.23,1543.7,344.66,72.68,31.48,81.33,630
20,50.87,,18.77,51.61,93.72,152.47,4299.02,1293.45,2192.23,289.95,302.28,1366.62,256.98,122.19,23.31,77.1,626.35
21,55.79,,33.68,21.26,128.05,42.62,1632.36,1496.49,1915.31,282.81,312.82,797,121.56,59.04,16.29,41.99,405.56
22,28.18,,64.44,123.36,116.6,46.33,5695.3,1849.18,2325.58,270.6,312.52,1881.79,145.93,216.81,21.7,53.44,224.27
23,92.43,,181.97,41.94,125.77,174.81,3895.91,1780.83,2220.49,220.04,665.88,1151.66,384.99,205.64,6.76,104.59,653.12
24,47.07,,16.3,57.76,101.71,162.57,3493.94,1432.16,2441.92,282.75,341.08,1385.32,300.37,66.76,15.52,72.14,634.46
25,19.61,,27.76,23.94,128.69,74.17,1738.33,1338.04,2009.76,263.91,323.88,637.25,28.25,173.5,17.06,61.04,417.4
26,12.45,,45.43,109.62,127.41,98.96,4213.94,1973.29,2120.85,236.02,470.73,1157.41,104.14,184.21,33.67,66.46,281.99
27,34.34,,21.97,52.69,137.92,98.78,2573.87,1589.9,2032.58,241.25,399.75,962.44,318.65,41.95,9.08,103.52,677.83
28,25.92,,25.51,61.75,113.59,368.06,2867.55,1596.35,2226.41,209.07,358.35,1236.91,284.24,64.99,20.48,68.11,519.96
29,27.6,,6.51,46.16,143.79,216.46,1607.43,1643.29,2743.83,259.78,566.57,699.33,54.83,72.66,7.17,71.43,433
30,13.32,,21.65,105.73,133.27,100.58,3011.75,2236.48,2648.15,308.32,456.19,1162.11,131.45,135.72,25.63,78.82,317.15
31,21.4,,10.5,62.09,120.91,61.75,1643.23,1960.76,2158.63,229.42,468.61,835.77,154.04,50.03,10.48,82.55,670.23
32,15.03,,13.3,47.01,123.54,83.27,3360.16,1897.39,1778.5,241.46,406.67,821.85,256.58,61.02,7.52,58.45,581.04
33,26.73,,25.13,57.55,148.15,49.41,1991.7,1273.45,2414.35,444.82,444.78,701.93,45.21,44.82,10.7,96.35,444.49
34,22.91,,25.26,159.13,144.33,72.84,3497.73,2122.47,2520.56,396.61,438.15,1028.6,207.11,425.98,21.29,147.75,354.26
35,52.07,,17.09,63.81,121.18,169.38,1596.76,1853.12,1745,579.29,500.34,878.08,153.85,52.88,14.19,134.49,683.92
36,23.26,,23.35,55.46,128.73,52.69,1935.29,2014.12,2125.28,250.25,330.1,721.12,291.08,51.1,10.96,64.82,774.26
37,24.72,,15.82,56.76,157.86,21.32,1927.35,1310.34,2382.36,267.82,365.2,562.64,165.74,68.01,8.09,74.69,613.12
38,8.05,,24.5,213.6,167.13,101.92,3053.25,2266.93,2071.59,296.63,328.87,948.96,208.84,229.61,16.87,62.97,371.59
39,68.45,,21.89,67.2,127.17,531.36,1986.43,1781.97,1272.48,306.76,439.8,571.22,148.09,47.57,11.83,122.68,497.27
40,42.88,,27.7,57.76,126.08,152.82,2010.73,2060,2576.27,327.16,325.41,701.02,299.55,36.25,11.23,95.11,600.22
41,20.94,,13.09,60.33,159.36,74.88,1532.26,1027.7,1643.24,480.7,292.92,988.19,157.07,48.72,5.34,90.18,579.84
42,50.42,,37.02,195.07,161.88,97.55,2946.17,1320.45,2071.78,453.9,563.83,1340.88,217.42,61.84,12.43,85.36,534.23
43,42.77,,22.04,67.7,124.22,309.91,1743.45,1568.83,1326.4,353.12,525.4,1562.39,121.11,66.68,7.76,168.41,605.99
44,20.32,,34.86,57.2,135.73,151.81,2071.74,1777.62,2089.64,198.27,305.3,1443.46,298.83,64.77,8.24,152.27,546.01
45,32.14,,13.23,66.06,208.82,81.6,1120.72,955.63,1752.02,239.98,390.19,689.02,175.16,42.47,2.12,90.73,355.94
46,36.24,,23.7,181.56,157.47,33.26,1607.29,1765.76,2242.41,357.87,957.76,813.02,182.76,53.51,4.18,86.74,514.68
47,42.35,,17.46,70.22,128.78,52.96,1406.83,1564.37,1395.29,327.62,622.95,3470.53,102.61,19.19,14.35,85.98,535.42
48,136.14,,27.3,55.08,106.49,99.83,1621.41,2061.46,3328.2,178.88,361.82,1227.57,261.62,40.52,3.07,161.72,551.94
49,80.05,,81.85,59.74,241.92,112,1243.89,986.09,2202.6,282.83,195.32,596.66,173.75,28.5,2,92.78,452.26
50,216.04,,29.45,123.55,162.85,97.2,1870.25,2235.06,1592.99,363,273.85,858.34,173.52,61.89,3.69,120.69,555.63
51,76.09,,22.9,52.26,223.31,150.15,1024.49,1738.22,1431.08,77.83,581,834.65,131.49,49.57,20.28,97.75,619.95
52,161.82,,32.98,43.97,194.99,95.28,1505.81,1259.89,1300.36,73.41,415.28,659.38,250.84,33.43,5.02,76.68,556.36
53,51.79,,109.62,49.33,130.1,164.01,1210.12,292.89,1450.34,264.05,359.35,651.77,165.08,25.06,15.24,95.2,410.68
54,116.54,,36.39,118.9,73.76,134.25,1703.83,1086.93,1586.67,162.46,328.24,779.25,189.09,14.86,5.86,141.04,520.16
55,61.98,,44.61,51.76,412.22,132.18,1335.13,1642.81,1006.56,216.71,575.15,873.92,158.37,56.09,12.55,90.68,611.96
56,162.31,,22.01,29.87,228.4,186.48,2047.9,1755.98,1245.28,220.91,634.5,1008.87,260.43,65.1,2.45,62.9,599.79
57,79.78,,116.92,35.28,212.12,75.84,1278.12,252.72,1331.45,315.92,571.74,603.61,174.21,37.14,11.84,74.62,483.33
58,136.68,,50.63,110.4,186.89,94.84,1402.51,1003.65,1022.41,277.4,597.04,761.06,209.06,30.42,6.98,149.12,558.43
59,85.41,,52.4,40.45,111.64,264.34,1402.36,1003.53,1249.73,92.33,553.35,1024.63,184.08,73.81,9.49,108.01,644
60,152.87,,93.61,20.27,330.75,84.3,1500.58,1434.41,1124.58,154.31,532.51,1189.26,275.58,28.43,19.01,119.86,763.57
61,57.66,,97.67,27.48,202.67,67.06,1156.8,281.8,833.27,204.31,407.02,944.3,188.43,38.09,12.29,98.64,1010
62,18.1,,30.71,90,124.42,88.99,1364.42,557.97,1085.49,477.52,357.85,857.36,159.3,19.94,13,228.71,766.42
63,41.71,,38.37,38.52,117.97,78.38,1261.99,952.08,1062.07,181.59,568.85,883.86,151.12,33.26,13.84,130.52,649.15
64,8.7,,81.45,18.05,252.61,80.4,1378.64,1460.4,1011.97,212.02,632.9,2021.55,259.03,82.36,29.51,138.78,668.99
65,7.98,,85.45,24.75,223.79,240.97,1051.16,339.76,1076.65,249.4,436.47,1386,160.35,41.99,1.41,94.31,699.7
66,104.2,,54.25,78.67,134.93,74.24,1177.45,295.64,1215.57,382.15,455.72,1102.07,168.02,52.67,9.55,206.19,776.23
67,11.51,,36.49,40.85,204.48,64.75,1252.66,853.39,2265.04,229.94,582.03,512.86,148.8,25.73,11.38,118.11,665.78
68,23.51,,92.86,15.72,262.19,39.79,1426.43,1278.35,1356.56,260.27,672.77,1377.27,201.91,34.98,15.56,34.22,852.3
69,13.06,,87.6,22.95,224.28,38.23,853.63,372.82,1375.68,184.7,478.91,993.4,134.79,21.68,1.3,78.51,771.77
70,42.64,,47.9,138.58,132.93,137.68,129.35,564.47,1039.03,153.19,469.66,694.46,391.23,105.46,0.26,24.56,1000.96
71,20.95,,118.14,89.85,56.25,118.41,450.71,700.58,1449.83,23.97,280.88,436.13,184.74,131.34,9.74,39.11,1044.45
72,16.36,,87.54,15.27,96.75,87.07,752.32,327.85,884.96,16.59,304.88,672.13,464.93,204.57,6.48,17.34,770.97
