Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,14.25,,266.69,1.81,42.95,535.64,703.08,1546.21,132.29,306.87,650.65,222.64,106.09,63.01,37.27,289.33,342.33
2,34,,411.23,3.7,31.79,214,2705.43,1354,145.91,347.53,567.03,240.68,84.4,125.65,75.01,353.72,303.79
3,26.69,,468.43,7.01,16.49,80.4,635.12,944,188.18,572.49,395.6,383.89,120.31,210.91,28.01,495.36,306.6
4,23.69,,209.11,5.88,46.97,238.51,338.89,1931,114.57,519.49,595.4,503.17,101.37,69.34,53.31,417.25,196.01
5,14.8,,239.32,12.81,44.09,204.8,1049.86,1774,108.89,368.84,607.5,284.66,99.33,156.38,26.36,260.36,415.68
6,44.91,,519.71,10.6,32.39,150.73,3656.67,1690,181.05,544.96,662.25,161.25,107.65,177.95,35.55,344.53,439.42
7,28.18,,401.34,12.79,27.2,81.81,951.03,1076,189.77,766.46,381.21,197.52,161.04,302.5,26.38,466.61,369.7
8,26.34,,159.79,5.5,57.72,129.68,419.87,2339,230.93,925.52,589.99,218.98,86.08,339.19,40.65,271.58,295.01
9,10.68,,105.33,17.65,26.63,200.91,1636.95,1703.27,169.25,1198.98,605.55,349.69,104.29,461.86,21.72,288.8,346.72
10,19.16,,287.54,18.84,30.72,365.79,5281.08,2031.82,205.43,651.65,694.29,356.38,110.88,361.32,33.04,878.27,425.68
11,32.74,,436.64,13.33,16.48,194.2,1013.7,1395.38,176.76,715.05,495.16,198.72,183.85,165.25,23.2,505.67,448.43
12,19.83,,366.57,6.79,55.76,211.09,900.09,2317.83,284.4,866.58,585.25,327.05,98.13,140.42,20.04,467.26,409.98
13,6.75,,90.42,16.29,26.06,217.09,1257.68,1725.23,180.62,1143.08,612.42,401.2,118.2,1030.5,15.45,572.28,382.2
14,18,,82.77,17.91,30.45,373.34,4914.4,2067.85,282.52,982.01,678.28,354.2,113.58,105.23,26.81,833.54,336.53
15,23.37,,52.72,12.39,18.02,305.98,1361.3,292.88,179.19,784.95,532.34,285.27,204.65,215.22,19.95,756.76,444.05
16,7.5,,342.77,4.68,27.8,197.59,426.2,1176.76,253.87,920.62,485.16,280.63,181.8,86.8,24.64,675.96,450
17,,,86.74,12.7,7.69,180.45,1192.08,1498.99,189.41,1002.06,593.65,507.38,152.83,274.77,8.94,679.84,403
18,14.9,,86.3,40.38,29.46,237.92,3011.86,1209.59,308.21,740.31,492.56,689.78,78.7,189.15,17.77,795.28,396.75
19,10.53,,56.19,49.77,21.03,342.28,1041.01,891.04,454.14,753.7,457.3,255.96,338.84,302.7,19.94,611.48,538.51
20,9.27,,56.5,112.96,14.18,319.33,566.01,621.76,334.13,1027.88,515.4,312.63,206,246.53,31.46,528.14,512.54
21,8,,79.56,14.23,5.27,141.95,968.02,1034.57,224.3,1070.97,546.35,293.17,182.8,323.1,12.03,784.7,407.91
22,9.2,,100.49,23,10.14,256.36,1366.11,1256.57,329.08,777.97,707.06,651.79,117.42,355.47,12.14,1000.7,360.05
23,10.57,,76.73,46.63,24.1,477.31,1274.51,940.93,398.86,840.29,341.82,319.47,339.29,209.22,16.35,876.95,715.46
24,9.33,,103,106.41,13.59,397.34,721.37,652.5,288.44,1056.12,444.76,178.9,107.76,334.56,15.5,683.17,623.2
25,10.23,,94.73,12.29,3.46,68.98,932.89,914.36,214.22,986,292.09,195.99,127.34,156.63,17.53,610.08,573.89
26,10.37,,111.11,20.42,6.98,86.94,1569.39,1241.34,232.44,727.37,666.69,544.98,184.25,272.51,19.92,797.37,361.28
27,12.11,,79.34,45.44,20.26,350.62,1313.39,1102.7,227.29,835.19,296.97,356.28,326.75,229.7,25.89,1036.15,689.95
28,13.4,,114.23,111.04,16.85,370.42,1248.17,910.4,264.41,1105.35,388.96,358.56,124.99,129.6,17.56,914.62,749.78
29,10.66,,50.95,14.76,13.42,202.18,1273.72,977.11,189.95,1062.94,249.17,189.39,241.19,143.34,6.16,510.24,641.13
30,7.92,,125.64,41.79,14.16,69.74,1122.46,1163.71,169.68,1140.82,710.46,267.58,279.02,153.59,35.5,803.02,509.01
31,13.7,,199.34,53.99,13.13,379.93,1611.64,1120.79,179.36,813.08,426.31,291.76,378.25,163.96,25.44,921.34,677.21
32,18.56,,298.72,75.62,20.19,184.64,1475.4,832.73,128.06,974.85,320.43,291.56,273.35,157.38,28.41,804.58,680.63
33,6.7,,162.19,15.82,14.27,175.16,2012.02,958.58,182.41,903.35,393.02,295.63,201.68,107.28,7.34,323.94,739.17
34,6.8,,165.06,46.07,13.82,277.25,1656.53,1111.42,220.56,998.13,769.95,330.16,259.99,264.48,16.33,625.05,566.93
35,11.64,,132.21,56.03,12.59,400.09,1154.79,1126.7,262.98,949.48,334.96,312.86,416.56,105.01,13.55,711.07,749.9
36,17.44,,294.08,56.9,19.82,207.02,1222.08,845.22,250.14,798.84,252.37,342.95,254.12,461.33,14.87,902.56,935.54
37,8.18,,223.12,14.5,15.12,145.12,1555.29,815.77,233.2,741.43,275.13,431.25,239.67,91.46,5.06,380.53,875.84
38,9.36,,129.02,48.88,13.92,281,1535.93,1066.91,245.12,1118.52,596.64,401.48,278.99,236.51,16.95,424.87,603.68
39,12.46,,165.47,48.38,13.55,380.13,793.56,944.85,253.99,708.88,548.59,367.3,441.29,118.01,13.7,520.87,764.73
40,13.46,,270.91,60.7,20.45,215.19,1823.98,948.12,178.61,832.88,373.23,459.2,261.62,281.82,14.45,780.46,945.31
41,5.02,,332.77,25.13,14.79,103.08,1549.72,963.77,297.44,766.56,207.84,403.36,250.43,77.21,13.93,409.77,918.5
