Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,52.94,,167.53,840.27,184.96,2650.22,1942.84,1547.78,3566.26,433.27,1040.77,3764.42,36.48,124.9,22.34,167.67,286.64
2,70.36,,186.42,441.5,226.17,2788.79,3908.97,1381,5310.84,258.71,1361.03,1981.49,25.87,132.37,64.62,249.99,269.1
3,35.79,,222.78,297.24,238.7,2191.38,1701.78,2389,4308.23,221.76,1120,2047.9,97.94,59.2,53.78,226.43,247.27
4,367.32,,233.22,268.22,233.49,1686.87,4506.36,1216.29,4437.03,509.04,1230.1,1193.37,144.47,11.22,104.06,279.59,287.21
5,26.4,,165.27,856.02,217.95,2549.05,2153.48,1384.31,3502.6,445.78,1259.8,1527.12,117.84,118.2,17.44,157.6,332.09
6,38.62,,186.27,378.39,229.44,2834.07,5952.4,1210.9,5098.69,290.09,1615.8,2069.46,124.57,32.84,69.92,234,315.38
7,44.73,,157.33,190.69,250.24,1692.77,2350.05,2824,4095.78,227.97,1164.58,1546.44,209,111.3,56.46,233,299.6
8,28.69,,174.7,265.61,247.13,2070.51,4612.05,1426.34,4108.23,312.95,1503.86,963.15,205.08,13.62,46.57,268.52,360.41
9,29.37,,103.96,712.06,282.12,1479.4,2064.88,1790.32,3325.79,369.07,1442.01,1295.87,199.03,36.61,15.23,186.32,289.08
10,31.15,,186.48,416.78,276.87,3207.55,5763.99,1720.55,4381.39,370.98,1750.64,1479.55,135.97,43.47,69.32,150.86,394.11
11,59.64,,312.29,219.13,286.37,1680.61,2564.93,2074.03,4019.67,319.51,1180.3,1155.55,284.52,101.17,66.04,90.49,344.28
12,36.36,,489.11,316.71,284.73,1388.57,2288.5,1593.03,4202.57,268.69,1253.27,602.56,387.7,11.94,43.29,289.87,397.06
13,37.16,,138.27,548.18,302.86,945.19,2124.42,1674.22,3820,368.28,1198.67,1338.86,369.69,27.93,16.1,104.47,282.62
14,55.93,,162.54,219.21,337.78,2937.76,5114.1,1700.05,4644.1,341,1349.97,1203.11,186.21,77.86,56.58,157.52,381.92
15,73.12,,77.16,380.44,265.62,1147.01,3537.14,1582.14,3342.57,287.86,1173.11,1134.97,362.31,24.41,52.98,202.09,367.8
16,56.26,,383.14,268.77,137.94,885.12,2815.73,1556.72,3593,276.1,819.33,775.67,411.63,161.26,53.48,204.92,421
17,49.46,,187.91,587.78,151.7,606.15,2460.37,1562.27,3733.29,401.24,1295.12,1088.21,320.77,49.1,22.45,60.94,276.38
18,82.23,,106.72,256.24,250.08,1585.07,3857.79,2942.82,6083.46,309.58,698.88,1001.44,102.34,8.05,51.19,167.86,398.33
19,112.13,,34.15,396.57,229.32,1213.24,2694.79,2260.61,5147.44,279.41,895.27,1412.89,185.14,16.88,41.82,201.17,332.96
20,119.56,,131.52,202.47,122.05,920.89,3018.09,2417.69,4019.79,388.17,991.58,1192.85,370.73,84.93,51.8,204.77,453.44
21,49.35,,60.3,554.21,121.8,1283.93,2489.02,2773.64,3591.68,433.64,1880.65,819.8,385.16,31.24,31.88,112.9,290.08
22,49.79,,75.42,274.51,179.93,1493.93,5942.14,3247.78,4620.72,425.94,1170.56,1064.53,225.46,12.89,48.5,170.18,280.77
23,147.82,,43.69,404.39,193.34,1082.41,2319.64,2841.83,4203.4,314.94,1012.17,920.04,142.64,14.55,45.25,254.35,340.77
24,110.29,,47.48,209.61,127.13,969.32,3271.63,2826.41,4007.5,425.33,1058.06,1531.44,312.74,37.75,43.44,222.63,463.25
25,73.28,,62.44,508.16,133.42,1630.64,2210.59,2748.6,3536.34,436.35,1683,772.86,214.55,92.29,17.74,38.76,319.59
26,44.89,,158.28,296.76,178.63,1702.62,5003.76,3049.27,4362.4,361.05,1268,879.62,185.54,25.92,67.39,188.81,209.6
27,85.53,,112.66,426.63,192.34,794.98,1932.46,2683.16,4212.62,277.7,1159.74,828.88,161.3,27.94,56.3,303.59,322.26
28,77.57,,101.97,187.93,126.01,984.08,2946.96,3034.18,3712.12,336.36,1118.65,1334.6,321.34,44.14,47.87,229.08,500.44
29,70.04,,56.58,179.13,126.29,1536.69,2033.85,3112.35,2561.5,318.98,1505.7,623.86,163.1,63.07,19.47,50.08,323.75
30,45.4,,42.8,289.78,145.59,1733.3,4046.33,2986.77,4970.6,299.4,1442.93,769.31,121.39,78.04,51.46,170.68,247.79
31,132.11,,50.35,476.87,139.24,511.71,2989.15,1635.53,4183.95,234.05,1100.35,611.8,115.03,51.06,45.78,292.26,310.05
32,132.25,,64.05,159.48,134.28,485.88,3693.04,1970.5,4118.53,293.04,1112.83,896.96,148.68,64.91,38.34,203.41,377.71
33,53.94,,62.86,169.99,142.57,444.81,1483.79,3008.1,2996.34,421.9,1258.59,712.62,119.39,57.73,26.49,92.39,317.8
34,108.97,,56.13,418.44,149.26,378.72,4138.26,2361.5,4632.79,269.2,1479.81,630,93.15,153.91,46.04,152.55,246.86
35,165.14,,111.58,450.87,144.2,455.7,2632.48,2000.73,4076.77,365.29,780.28,732.87,136.15,14.41,38.97,262.87,311.48
