Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,26.75,,137.64,463.02,67.88,443.61,225.47,206.7,581.71,172.89,147.02,575.7,41.6,55.97,44.66,859,208.84
2,161,,126.34,173.35,64.09,725,1328.81,304,1314.07,156.28,265.88,1556.8,48.02,145.6,50.67,546.03,184.57
3,171.27,,101.27,89.96,61.12,34.52,867.12,162,1680.82,372.67,217,1128.48,56,149.84,74.51,868.29,136.36
4,173.37,,109.23,,46.65,106.22,679.83,713.5,1295.86,323.28,257.75,772.6,234.25,31.38,76.75,770.97,208.57
5,211.84,,143.16,339.75,53.41,452.95,241.18,192,717.09,230.8,266.1,443.91,39.54,193.91,53.82,812,219.33
6,204.88,,117.74,127.29,81.68,758.02,2011.21,290.19,1432.94,249.77,375.85,1510.07,94.03,125.25,169.26,502.35,278.77
7,200.04,,109.31,74.13,70.69,61.97,1177.62,223,1508.8,276.01,263.69,837.5,46.42,175.46,156.69,765,174.51
8,269.2,,149.03,2.79,71.14,65.67,702.38,683.6,1516.82,286.61,221.17,571.84,194.99,358.4,89.88,844.36,213.24
9,229.24,,128.22,325.43,104.71,1863.69,254.81,289.78,1422.32,299.95,365.36,547.07,36.65,93.59,49.3,834.96,135.7
10,206.48,,157.96,149.85,97.25,801.01,1792.66,358.74,2139.59,357.89,458.06,894.11,19.28,191.38,160.38,447.27,319.85
11,227.76,,119.93,118.53,102.8,69.99,1254.97,373.69,1834.15,333.81,251.79,445.13,44.57,213.38,164.64,251.22,243.55
12,262.76,,193.34,24.85,98.65,173.51,310.64,505.9,1938.48,258.89,347.43,669.46,237.79,776.84,90.74,476.99,271.57
13,177.36,,84.9,265.67,106.1,1324.99,306.87,282.13,1421.65,232.66,322.21,472.19,44.02,120.89,31.37,136.6,142.9
14,227.6,,77.15,118.15,193.15,85.32,1687.4,379.21,1931.38,305.86,526.32,943.83,23.16,125.46,170.24,470.99,248.38
15,197.8,,87.24,75.07,94.21,53.31,792.52,257.02,1950.33,326.97,247.89,700.82,60.03,233.81,135.08,273.62,303.06
16,248.16,,173.71,53.11,57.13,325.46,362.62,514.13,1939.69,351.18,208.91,545.52,267.46,468.99,96.56,126.95,272.92
17,244.33,,124.84,182.35,27.98,199.86,307.82,334.18,1673.42,391.1,265.84,813.36,89.87,404.11,36.37,156.25,156.34
18,110.52,,76.15,142.95,110.16,102.09,1261.13,329.41,2380.41,260.26,554.15,722.84,24.71,165.33,178.82,293.23,171.77
19,237.48,,80.24,113.79,110.41,246.52,767.73,456.63,3376.21,352.89,310.56,1474.98,109.37,415.05,139.08,172.81,515.93
20,241.92,,90.79,123.54,39.79,327.96,344.07,600.59,2868.5,386.52,443.03,1449.06,240.51,339.03,87.46,137.46,244.47
21,188.08,,112.66,255.96,28.52,357.68,330.89,547.17,2379.93,358.28,320.07,557,69.07,287.59,48.35,107.3,173.06
22,202.04,,107.17,238.95,40.28,75.04,2085.54,570.73,2294.35,346.97,678.71,762.35,83.73,392.33,171.46,328.9,306.44
23,403.85,,92.29,170.2,111.11,237.6,766.22,500.19,2803.96,294.31,359.65,766.36,121.15,217.89,126.22,91.75,449.72
24,341.36,,76.89,128.4,46.95,278.23,416.75,781.71,2806.17,409.35,446.66,1147.07,247.65,253.9,84.81,130.34,276.89
25,251.57,,100.21,256.18,27.22,394.68,307.21,540.74,2353.18,365.42,316.85,726.47,68.34,263.14,42.1,107.46,146.21
26,222.8,,142.84,185.05,36.62,71.49,2023.47,551.54,2185.3,320.24,714.66,946.57,56.82,267.78,181.84,462.64,228.82
27,265.36,,89.98,184.36,102.41,203.53,697.72,496.86,2783.6,319.69,398.65,956.29,113.14,362.01,112.31,236.33,313.86
28,190.52,,111.64,123.95,41.65,207.76,543.54,939.83,2748.45,354.1,491.69,1028.6,339.1,215.9,77.73,207.1,265.38
29,133.36,,59.9,256.46,32.39,613.82,359.64,655.91,2700.27,308.67,327.61,559.8,57.86,108.58,42.79,164.18,184.29
30,243.76,,85.63,192.94,31.16,168.34,1554.41,615.94,2409.61,353.32,597.7,752.66,82.26,122.48,175.16,210.41,166.8
31,252.4,,113.3,171.55,77,239.37,1117.23,559.76,2344.48,251.03,424.97,564.13,49.62,177.86,116.22,158.68,268.3
32,231,,43.27,98.74,36.89,167.95,632.64,925.37,2400.56,292.26,513.25,787.95,73.34,180.81,90.01,152.9,247.55
33,162.56,,76.55,232.52,31.99,200.97,569.28,682.07,2156.18,367.02,633.96,494.5,49.44,140.86,54.37,125.63,208.67
34,171.44,,120.36,209.07,32.44,310.93,1779.64,658.09,2304.75,434.52,642.57,704.68,72.61,367.97,158.03,180.61,182.82
35,346.16,,120.12,163.2,77.91,292.4,1031.46,508.85,2207.36,402.2,335.99,432.7,50.45,89.7,116.64,191.68,242.58
36,290.56,,62.18,132.6,37.32,248.11,910.06,981.6,2086.09,243.05,279.42,626.71,38.68,63.2,97.68,206.7,322.74
37,204.56,,146.61,240.61,33.29,242.99,590.9,699.29,2198.27,311.16,262.69,410.14,58.38,113.52,50.28,159.51,172.1
38,128.6,,89.72,216.33,39.44,680.13,1484.69,802.64,2000.05,400.68,540.36,510.23,72.75,203.52,98.77,131.26,212.1
39,186.88,,122.11,177.79,78.13,720.11,1405.87,458.78,1882.88,342.56,355.07,460.96,58.45,106.9,94.9,178.15,290.45
40,142.32,,178.13,138.72,39.87,214.64,1283.68,824.35,2196.01,418.04,207.12,614.55,79.52,69.08,89,235.76,223.61
41,50.4,,105.83,199.05,34.01,357.89,916.63,621.9,2161.66,407.16,258.24,428.39,62.72,71.7,62.89,194.99,238.45
42,101.84,,62.03,213,33.52,436.15,2019.72,530.02,2021.87,286.9,456.42,546.97,102.41,68.16,84.72,148.79,190.93
43,91.44,,71.86,182.29,75.35,634.45,1041.79,430.63,1731.17,616.96,325.2,559.51,55.46,49.16,14.33,211.48,298
44,142.16,,156.16,147.94,37.07,265.25,1584.9,716.27,1783.64,512.02,250.7,584.86,43.64,66.43,34.53,193.25,265.09
45,98.32,,72.56,232.13,38.76,132.4,638.49,412.3,1715.08,477.39,288.84,830.52,51.3,66.06,23.07,224.59,236.19
46,110.56,,70.53,222.69,32.02,163.26,1815.52,615.13,1581.16,476.91,400.56,765.33,88.28,58.04,67.06,183.46,276.02
47,162.39,,58.12,187.47,55.83,929.62,752.56,607.71,1297.79,524.95,379.73,929.29,64.52,30.03,12.07,132.9,309.96
48,237.15,,137.12,116.85,43.37,90.34,1905.59,1217.1,1703.42,277.46,406.42,641.61,48.12,47.7,24.45,204.24,294.33
49,91.77,,81.8,222.71,111.85,221.33,790.66,480.4,1177.73,574.37,401.38,675.25,50.45,91.61,28.76,181.12,270.13
50,113.61,,54.12,206.74,37.73,151.2,1657.06,1027.89,1536.5,513.02,240.33,657.82,88.76,101.28,202.31,211.7,257.2
51,146.04,,49.79,148.45,55.86,270.07,656.95,978.4,1548.38,407.04,276.69,785.19,95.3,132.98,121.06,128.6,292.13
52,155.77,,147.4,76.01,50.91,467.56,1881.32,1342.86,1513.39,453.58,420.23,678.17,41.39,56.72,140.85,114.49,285.71
53,123.15,,122.54,197.5,68.41,145.37,870.6,562.79,1203.39,356.64,312,638.38,51.58,77.35,98.55,188.7,261.08
54,226.97,,43.16,192.55,21.18,166.39,1144.42,1112.89,2024.54,472.79,232.72,792.31,90.28,78.14,96.41,218.22,244.83
55,76.63,,52.68,138.08,37.11,264.79,959.43,886.93,1781.46,268.91,352.62,958.77,99.64,89.3,88.31,128.01,282.73
56,93.22,,97.67,77.87,97.12,91.74,827.33,955.15,1650.85,402.86,373.02,699.71,44.02,135.81,135.81,122.68,289.64
57,26.05,,112.88,169,54.57,188,818.12,800.69,1254.74,255.62,583.12,685.11,52.03,57.61,17.48,218.86,264.21
58,39.95,,93.84,185.1,29.53,79.8,1208.18,687.03,1707.42,366.25,523.79,888.23,91.24,88.79,44.62,232.68,237.79
59,74.27,,55.8,84.54,71.91,185.35,1021.53,850.73,1756.07,306.81,360.54,1105.13,110.11,33.21,11.7,114.79,377.84
60,76.73,,93.02,59.66,121.07,96.7,1078.98,1261.77,1673.57,402.75,558.78,538.67,75.71,47.57,6.8,84.76,309.32
61,23.95,,101.98,140.93,47.39,229.66,1117.19,801.3,1538.53,308.91,624.56,878.24,60.49,43.57,6.62,191.54,373.33
62,13.33,,153.85,163.6,61.09,159.09,1358.8,835.61,1251.96,520.96,474.12,665.73,105.5,18.88,8.35,314.66,264.87
63,7.09,,128.53,89.08,34.22,543.92,1107.87,277.14,2270.84,468.65,355.51,1090.52,101.33,82.16,17.59,172.02,353.22
64,2.5,,135.54,54.41,96.86,409.25,1192.2,1513.93,1296.74,495.46,356.68,774.67,52.2,27.07,21.22,207.54,325.09
65,0.31,,113.5,138.44,75.69,77.82,798.85,778.07,1102.39,355.32,624.97,799.6,59.08,7.71,15.87,176.25,295.12
66,4.87,,110.16,153.81,54.64,59.87,1284.81,503.37,1140.16,1013.23,528.26,802.97,77.76,5.9,30.94,218.76,286.11
67,0.23,,167.13,91.9,47.16,45.89,1133.29,344.56,1581.96,475.28,558.24,849.7,105.93,50.42,51.74,182.95,340.55
