Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,21.85,,47.87,238.5,64.89,165.65,934.02,686.58,196.37,80.08,210.26,615.02,45.28,47.09,48.7,81.63,463.88
2,50,,216.22,117.7,74.42,64.21,2322.46,710,226.64,57.74,549.42,532.07,98.74,80.13,101.89,88.18,379.77
3,62.23,,101.3,96.94,74.27,141.92,624.99,447,355.94,134.38,327,894.14,129.29,127.81,49.31,166.23,345.8
4,35.14,,150.19,105.58,56.09,305.93,1320.82,232.51,426.31,192.57,338.15,353.64,53.32,101.14,102.22,57.19,381.02
5,12.6,,96.99,210.84,59.14,133.11,1571.63,761,267.97,221.97,336.9,551.14,110.09,92.81,46.59,77.91,606.25
6,19.74,,91.21,101.85,56.51,127.66,3508.16,916,565.76,147.59,646.37,685.45,55.46,126.14,102.16,87.95,408.51
7,22.64,,82.27,108.56,71.41,158.79,745.89,697,598.64,95.36,298.19,691.33,153.51,77.7,54.22,79,326.31
8,59.75,,151.45,107.53,59.63,205.35,1375.71,405.7,687.5,103.21,262.86,498.25,162.51,82.79,56.94,58.68,448.85
9,13.93,,124.17,179.3,134.65,262.97,1950.2,598.42,617.07,150.75,354.33,782.46,118.97,135.11,36.93,121.23,586.97
10,5.48,,129.07,112.81,70.46,181.1,3598.47,1042.36,744.32,205.59,644.06,701.62,34.49,132.91,67.54,176.76,424.14
11,22.6,,112.51,128.54,94.45,184.3,821.26,838.52,659.64,97.37,284.95,797.05,189.33,91.43,72.74,217.17,458.49
12,87.86,,145.75,105.85,72.66,173.31,1629.25,523.19,654.63,77.65,239.47,696.41,234.07,133.03,50.25,40.32,601.15
13,6.27,,72.29,164.46,130.7,396.56,1481.26,518.31,776.45,141.72,328.76,751.37,188.09,111.58,37.51,300.76,489.79
14,7.38,,145.25,140.79,73.44,308.4,5185.82,964.91,951.15,231.33,339.86,957.24,51.27,76.53,59.8,143.21,539.79
15,24.33,,75.33,150.95,89.02,410.47,3276.4,664.24,699.2,137.24,325.36,844.31,210.77,94.16,65.51,229.6,540.71
