Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,,,2,51.88,106.25,50.35,709.29,46.83,92.94,16.74,219.43,2691.32,129.37,313.54,812.09,28.58,902.09
2,,,58,159.07,85.42,178.91,771.93,106,60.6,32.93,346.46,1572.29,35.6,193.64,344.48,68.2,666.63
3,,,33.4,35.13,279.23,204.15,474.52,130,43.36,79.86,349.28,675.28,17.45,719.31,326.14,418,645.97
4,,,175.05,62.95,245.15,52.35,1190.1,258.15,370.99,80.34,204.8,1161.92,175.86,386.16,1214.19,177,646.74
5,,,23.5,82.06,100.47,131.58,1380.8,42.5,737.64,166.51,448.79,1699.68,146.46,200.2,826.41,113.09,1176.63
6,,,54.01,193.79,128.07,44,1457.47,29,276.81,219.58,550.93,1532.34,32.1,587.71,544.47,159,2099.27
7,,,46.89,265.61,267,383.25,574.4,202,112.02,249.83,517.16,1072.55,107.81,921.39,1143.97,208.5,802.55
8,,,114.26,121.07,179.5,122.23,1472.65,154.36,465.68,155.67,522.35,831.11,349.09,477.17,1181.88,167.09,1097.15
9,,,33.9,76.57,219.09,264.86,1845.8,60.91,751.89,181.13,545.62,1560.45,257.78,360.76,1015.25,120.92,1641.97
10,,,136.69,274.35,222.89,237.37,1507.62,128.18,433.31,205.68,560.81,1515.97,147.08,602.3,2599.86,433.34,2243.79
11,,,147.57,319.38,193.15,582.53,617.75,204.09,280.29,128.81,1034.72,931.31,240.31,404.25,1131.62,390.09,719.84
12,,,167.91,152.79,214.58,325.36,1121.99,133.19,608.44,58.26,901.75,703.64,632.02,398.67,371.73,338.43,575.32
13,,,37.7,78.79,221.81,394.74,1681.8,205.54,784.68,146.24,701.12,3309.77,292.63,220.1,244.67,396.1,1294.66
14,,,223.55,26.76,294.17,504.8,1579.41,140.79,506.49,172.87,891.1,2680.64,116.67,290.83,268.48,367.33,1042.99
15,,,349.56,427.5,201.18,346.26,1418.55,320.42,274.09,46.72,1182.49,2094.76,303.38,310.04,212.17,288.9,679.5
16,,,117.16,251.08,60.62,184.72,1791.64,131.95,713.72,61.55,908.8,1339.34,496.25,452.93,193.18,277.26,587.57
17,,,90,13.86,131.06,103.49,99.45,75.25,119.38,21.26,65.17,216.87,26.07,319.8,104.64,47.61,119.38
18,,,79,0.32,53.69,58.78,344.24,71.06,52.97,27.06,97.99,221.05,36.76,360.58,256.07,67.55,102.82
19,,,90.14,35.1,21.67,43.3,66.31,157.57,39.79,12.52,148.28,134.02,35.66,173.46,70.87,42.62,113
20,,,40.28,15.32,9.08,11.79,92.37,77.79,57.18,15.59,148.64,123.45,38.53,230.11,132.11,25.67,150.26
21,,,87.12,18.63,103.03,20.89,383.5,111.87,65.11,43.71,775.78,322.89,151.9,216.43,77.5,64.95,840.24
22,,,55.76,10.2,42.99,95.77,682.02,137.04,101.97,10.42,811.34,422.01,159.33,139.08,137.32,56.06,96.91
23,,,86,15.72,39.77,246.06,496.04,221.72,100.84,11.17,380,512.3,83.6,101.58,75.83,48.29,188.55
24,,,266.93,9,95.88,118.21,156.26,201.37,86.32,,729.61,337.97,60.43,208.38,94.34,110.56,181.19
25,,,98.35,12.23,4.23,85.82,383.63,188.16,124.65,3.5,432.98,105.55,56.97,179.3,61.91,38.57,816.39
26,,,59.76,6.86,48.97,93.37,255.7,198.91,104,12.94,572.62,782.05,130.91,218.31,71.06,72.69,108.85
27,,,99.49,18.96,51.72,222.26,214.73,340.38,88.61,24.19,494.12,157.66,95.22,131.66,54.9,36.54,205.62
28,,,221.81,12.21,81.1,84.6,128.56,234.77,138.96,13.69,447.54,115.8,83.36,155.67,88.18,61.49,179.12
29,,,59.63,8,83.08,168.98,177.4,266.09,400.51,5.07,791.71,145.42,37.01,168.27,89.23,85.39,793.28
30,,,7.86,8.03,17.64,125.78,256.78,270.46,319.55,10.43,982.48,833.23,150.24,177.59,90.47,68.09,118.88
31,,,8.81,13.79,50.28,192.45,103.41,324.24,194.06,7.89,576.87,757.61,79.46,153.5,90.33,41.24,210.46
32,,,12.73,12.42,91.82,797.69,188.2,285.59,131.25,4.77,592.15,211.13,129.83,179.05,77.9,53.25,168.58
33,,,10.65,11.94,74.71,255.87,187.37,318.86,83.4,4.52,499.31,129.16,86.78,212.53,72.2,44.69,752.15
34,0.32,,11.38,10.66,17.62,327.92,423.92,352.48,147.91,17.01,618.96,794.09,134.39,318.98,81.06,53.37,146.07
35,,,9.9,13.09,45.06,337.96,123.26,450.25,171.66,5.37,347.89,231.68,57.99,387.64,102.53,41.47,225.16
36,8.55,,19.61,12.48,77.4,662.76,112.97,358.21,702.98,1.8,162.94,259.39,147.43,255.66,86.88,42.61,185.69
37,,,8.8,9.86,61.5,79.67,189.63,418.98,535.79,1.33,201.62,136.11,71.43,180.51,78.01,37.12,720.74
38,,,15.79,11.09,26.04,294.86,463.75,330.68,166.18,31,292.03,254.7,140.07,367.88,117.93,28.76,154.39
39,,,11.17,12.34,46.85,308.23,139.06,590.94,165.74,8.69,386.24,144.2,64.89,431.95,116.2,34.79,234.17
40,8.55,,23.53,17.58,91.1,376.93,112.31,364.45,566.14,10.56,453.12,203.98,119.09,317.36,137.46,50.4,194.47
41,24.6,,12.64,13.04,54.2,137.56,156.66,344.56,440.17,,184.14,123.42,81.45,193.21,66.28,55.24,688.63
42,98.72,,20.87,15.87,27.72,257.77,490.89,533.86,219.58,8.47,242.76,213.7,169.07,325.08,14.34,45.77,254.6
43,7.17,,8.55,14.2,46.36,112.1,161.87,876.98,201.75,3.07,268.62,152.07,66.3,312.55,81.68,47.69,297.39
44,1.52,,140.78,19.43,55.44,100.52,98.65,488.75,479.84,1.82,378.34,217.51,126.29,170.7,114.86,53.77,251.5
45,12.1,,22.61,12.9,49.53,200.94,342.15,323.43,256.05,1.48,615.89,261.28,104.1,223.36,69.96,49.77,695.08
46,71.32,,26.06,16.92,21.49,149.23,478.97,599.25,181.49,14.38,437.83,179.15,205.28,126.67,459.79,51.51,243.63
47,143.61,,12.17,19.86,49.48,115.16,281.83,785.72,331.24,10.56,757.15,125.75,86.12,234.42,868.33,46.69,312.08
48,117.01,,161.85,17.64,42.59,964.31,156.84,658.79,556.41,20.42,456.69,249.62,176.48,178.03,407.57,108.92,269.63
49,58.96,,22.58,14.16,191.47,181.57,326.96,313.23,378.32,142.94,533.13,185,108.26,46.17,1067.56,74.33,780.5
50,141.65,,24.86,19.02,43.03,174.5,480.59,600.82,178.37,1.96,613.33,160.54,199.54,161.76,4163.49,125.71,261.3
51,73.31,,13.08,18.56,88.2,88.02,345.91,1159.13,366.45,1.68,910.48,133.33,91.82,152.59,4633.41,147.3,364.94
52,74.57,,204.05,21.6,143.97,918.21,190.7,655.14,123.69,0.72,385.49,162.18,185.28,84.81,3675.86,163.59,293.2
53,73.68,,24.34,10.99,192.66,333.33,266.01,465.41,337.31,62.89,578.55,189.68,113.39,84.75,3525.2,127.61,540.13
54,93.62,,440.83,17.5,81.53,96.83,396.13,651.12,203.95,11.45,500.09,177.79,192.22,116.14,4939.3,142.91,308.02
55,65.76,,13.71,18.83,70.16,502.17,401.57,723.3,328.28,5.9,682.88,212.1,93.31,58.06,4406.93,176.6,523.63
56,73.84,,246.49,20.66,370.67,206.39,127.97,809.8,328.47,10.2,329.27,138.9,186.12,25.93,4027.35,171.39,482.51
57,97.44,,19.35,9.26,383.12,62.14,190.85,559.59,121.89,,637.47,169.23,113.12,155.57,61.92,151.17,677.54
58,112.85,,129.18,17.29,107.28,540.21,397.63,528.73,701.88,,925.75,235.51,191.13,81.22,54,193.14,323.05
59,73.07,,28.57,19.13,104.69,516.21,528.48,485.17,622.52,,1193.65,298.48,84.28,291.54,38.07,215.97,950.18
60,79.5,,201.38,17.88,312.03,543.36,227.7,460.51,391.91,0.95,327.05,136.92,208.88,66.75,111.29,416.44,855.54
61,64.71,,61.48,6.71,333.04,175.56,199.28,333.3,244.73,,529.49,216.93,114.74,115.82,34.06,129.5,958.3
62,15.33,,130.07,17.68,53.88,594.03,302.27,664.12,334.04,,997.98,169.48,155.66,3.73,155.82,166.51,681.26
63,3.27,,68.21,21.2,104.21,848.67,577.23,2801.83,394.4,,1029.24,227.55,92.95,15.02,104.84,169.47,1066.75
64,3.9,,306.63,16.67,142.06,297.57,539,450.28,459.24,,393.22,117.28,222.8,5.81,74.67,383.72,1037.17
