Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,2306.1,,131.92,655.94,57.71,3547.03,2396.43,1796.82,3254.32,785.03,2133.77,33626.89,1595,662.6,554.17,1049.12,4642.36
2,2295.4,,144.27,370.67,75.59,4024.39,4634.19,2451,2217.44,1137.77,3257.36,48294.83,1805.66,580.94,602.38,817.18,1976.67
3,2742.48,,59.99,151.65,66.49,3132.5,3054.26,796,1930.19,1827.96,2075.3,41523.16,1461.07,3722.22,613.95,993.77,1857.43
4,2002.44,,106.53,38.26,62.92,3890.25,3679.91,2191.74,2847.18,1067.16,1888.9,21670.18,790.25,1787.25,841.59,633.66,3742.71
5,546.2,,126.44,593.75,65.7,2452.53,3292.45,1747.72,3017.31,634.73,2967.7,14475.68,2309.18,611.83,249,1001.95,3460.45
6,898.41,,199.32,355.39,91.6,6735.64,6939.15,3407,2398.72,1170.49,3459.5,38881.86,3990.32,394.16,208.14,1051,1988.56
7,1366.86,,36.57,108.78,78.73,1965.24,4052.67,1012,1307.87,980.11,1818.95,36867.42,2298.57,605.26,355.19,1075.43,1531.99
8,800.7,,49.91,42.32,74.67,3176.39,3825.89,2352.6,1829.21,1002.93,2000.76,21832.67,1323.47,1865.47,787.21,736.78,2760.13
9,364.62,,55.73,617.4,46.6,3666.96,3217.05,2806.39,2803.74,757.47,3502.94,11458.92,1794.04,2492.35,1960.08,1448.8,2406.35
10,1140.38,,198.64,366.2,75.36,4516.49,6868.15,4012.17,2762.98,685.03,4104.21,44005.04,4262.65,654.39,693.69,1053.82,1909.59
11,1481.71,,41.1,225.49,75.21,5608.22,4201.4,1565.03,2112.86,730.14,1996.63,14867.62,2375.46,865.23,898.88,401.88,1655.08
12,1340.07,,170.2,48.51,71.95,4480.49,2167.49,3094.7,1956.58,657.24,1752.15,28185.57,1598.75,1076.77,1046.38,790.32,2663.4
