Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,66.8,,294.09,87.97,363.95,45.77,228.85,382.01,530.51,169.54,267.11,299.25,68.8,125.84,118.69,111.04,299.39
2,332,,144.8,476.84,112.56,14.94,606.59,439,435.92,27.86,333.33,1018.69,70.22,207.11,107.31,115.91,339.75
3,26.56,,282.93,138.36,231.79,78.57,116.67,156,349.75,147.25,393.25,452.13,36.1,69.35,102.58,135.17,322.74
4,2.2,,185.53,8.94,183.21,139.02,258.52,176.62,290.26,110.85,347.01,558.61,163.7,146.5,111.24,50.6,287.58
5,37.8,,248.91,163.08,275.38,161.43,258.39,474.93,494.61,105.31,345.87,429.26,118.04,122.67,105.99,116.46,407.78
6,94.44,,232.92,508.92,89.04,22.51,1028.6,598.06,479.5,117.64,496.54,916.68,129.48,245.5,151.84,129,378.49
7,0.4,,258.04,151.83,224.15,52.37,146.36,605,352.39,161.33,407.84,648.2,41.8,151.03,66.07,73,337.57
8,11.56,,578.7,13.18,178.14,90.49,294.11,368.08,381.58,195.87,455.13,540.01,203.59,80.07,76.43,56.4,319.98
9,,,344.5,169.75,86.14,105.43,245.65,466.37,844.79,83.12,488.45,479.99,204.44,107.08,83.39,124.07,315.51
10,9.6,,329.56,522.26,111.95,160.79,1010.21,1022.58,585.49,96.96,520.8,580.86,83.39,127.24,83.16,153.62,342.43
11,5.44,,126.11,196.87,205.26,84.68,233.04,801.67,610.33,144.67,385.11,703.11,224.26,160.45,36.42,43.91,296.82
12,8.6,,177.44,18.27,189.17,91.01,876.88,417.76,513.47,89.11,548.28,3893.63,401.14,100.27,27.92,33.36,380.2
13,7.13,,136.74,175.9,89.78,304.94,268.01,420.93,822.57,120.18,458.71,770.1,263.89,143.55,55.82,134.19,399.33
14,2,,123.69,210.77,119.3,155.24,1065.25,969.95,685.7,124.3,559.15,686.05,100.19,188.22,57.28,131.61,460.41
15,8,,71.08,213.1,183.98,126.05,724.33,460.92,546.44,135.12,515.65,569.32,304.44,133.05,36.31,58.73,358.13
16,3.6,,176.07,69.18,67.89,196.8,565.24,493.92,763.84,73.17,410.27,591.9,342.64,61.86,23.84,69.87,439.63
17,5,,294.57,164.28,125.95,269.2,386.55,470.14,889.89,61.93,406.07,596.91,303.25,143.79,27.76,74.86,365.33
18,5.33,,117.79,196.33,100.03,116.72,680.86,963.95,542.98,35.49,186.56,626.65,53.05,60.61,54.89,81.76,275.85
19,5.3,,74.2,321.09,140.97,94.62,550.93,230.81,850.89,55.16,310.22,362.21,127.66,94.23,29.66,70.55,365.84
20,7.77,,405.06,137.84,96.9,41.24,764.6,275.7,831.31,36.03,404.57,837.7,356.59,63.12,33.37,43.04,488.49
21,3.95,,183.85,279.7,66.4,162.6,332.7,533.23,739.74,62.47,335.23,338.9,189,96.53,38.25,133.49,445.3
22,1,,108.67,273.71,140.54,238.31,901.64,1146.68,785.58,59.37,478.52,1069.39,296.57,143.68,67.61,89.87,288.26
23,5.47,,126.86,341.14,122.16,99.19,591.15,403.27,724.09,53.12,498.24,568.47,187.45,107.26,42.63,101.91,383.04
24,11.75,,246.05,158.92,90.19,129.5,1040.75,323.27,826.34,32.81,364.23,404.83,307.39,87.62,20.44,94.46,466.76
25,7.25,,255.3,204.86,81.35,148.07,293.31,490.76,745.46,58.66,288.9,176.79,112.35,182.59,39.78,76.81,443.92
26,5.27,,183.15,255.56,107.86,309.18,1000.79,1165.41,628.19,64.03,407.75,675.98,285.93,71.53,66.85,120.45,350.26
27,12.58,,119.69,333.99,126.82,192.87,563.08,361.7,558.18,41.1,413.61,363.15,177.92,52.47,32.68,107.68,381.75
28,13.53,,222.11,163.28,96.57,272.61,1466.97,431.91,814.49,32.82,361.89,432.45,273.05,74.18,35.64,105.77,466.33
29,11.5,,151.47,194.74,88.57,132.85,409.25,439.85,1168.62,46.41,261.23,196.99,135.79,94.25,26.7,110.28,429.19
30,7.1,,53.94,248.88,74.66,367.14,568.34,1032.29,697.51,50.91,422.16,325.7,294.02,65.71,58.2,123.64,360.7
31,11.82,,22.47,326.87,97.56,407.71,464.03,307.38,736.84,50.6,369.47,482.43,163.97,38.95,36.35,93.34,397.94
32,14.68,,88.78,141.18,104.29,376.99,854.13,428.7,810.67,40.67,473.62,385.5,257.35,55.1,35.72,183.56,514.84
33,1.74,,135.4,201.95,85.79,318.56,534.16,390.82,786.93,36.64,304.51,335.77,223.06,89.06,38.83,236.63,441.78
34,9.6,,140.95,314.49,85.44,677.64,640.02,1170.27,672.11,39.52,438.25,309.71,324.74,136.37,57.3,218.98,440.49
35,7.5,,58.56,328.39,96.49,608.55,497.5,599.12,697.56,39.25,385.04,277.59,311.73,26.19,57.9,98.19,476.34
36,11.06,,93.5,141.35,107.21,422.27,272.67,494.95,1052.33,36.27,305.57,374.82,264.04,40.18,38.47,167.29,683.71
37,3.28,,135.31,220.22,88.56,128.46,255.4,457.86,653.46,34.89,253.64,323.16,221.41,90.75,36.45,175.27,556.67
38,8.66,,123.27,304.21,87.97,166.65,250.6,896.58,652.91,28.41,396.76,342.21,300.77,79.69,61.02,172.86,533.74
39,13.96,,159.01,322.41,97.47,151.61,256.79,665.27,796.67,42.31,395.47,331.65,323.74,43.68,67.95,170.56,455.81
40,14.12,,114.1,156.86,109.08,549.8,270.69,478.47,979.94,23.79,355.81,441.76,283.32,32.66,58.27,189.61,519.9
41,4.34,,108.41,176.58,85.77,239.36,397.48,352.47,258.92,34.07,256.42,371.21,240.43,69.68,34.79,200.83,545.66
42,9,,113.42,295.63,87.37,102.34,530.87,614.98,839.83,47.5,441.26,417.32,254.72,72.93,110.89,214.2,619.86
43,33.88,,122.61,313.45,96.82,196.77,296.8,816.51,775.96,42.54,352.61,401.46,283.43,76.64,92.13,175.69,480.25
44,14.78,,116.16,156.84,151.29,329.88,337.7,429.14,784.28,37.86,358.19,708.69,295.89,50.08,81.94,226.63,578.41
45,30.86,,81.72,181.36,468.13,120.79,384.8,344.61,821.32,42.37,400.29,396.76,253.27,37.32,28.13,182.25,545.23
46,101.6,,54.62,271.94,87.47,40.23,427.98,598.24,811.19,63.82,385.59,396.49,326.27,81.87,37.33,293.62,594.48
47,40.16,,66.63,312.92,210.14,91.79,370.84,494.75,390.62,39.96,550.26,291.84,296.87,12.17,77.42,209.57,561.47
48,98.24,,100.75,143.91,122.69,569.49,438.62,380.92,464.37,264.67,571.01,450.28,349.61,52.98,94.98,188.87,631.11
49,58.59,,81.91,188.86,105.21,114.76,388.37,370.34,946.95,44.36,504.58,313.93,340.24,191.38,29,195.75,596.81
50,155.96,,39.39,329.78,77.75,54.3,607.24,567.53,793.44,47.74,333.45,196.88,318.87,145.9,23.31,292.29,550.95
51,37.65,,60.74,245.32,119.23,109.58,446.33,650.79,505.36,66.65,274.33,148.09,288.48,150.09,91.18,215.66,573.96
52,102.61,,81.16,118.89,114.69,312.39,405.94,400.87,190.07,103.34,327.2,363.98,341.57,259.55,76.43,221.4,628.8
53,52.17,,85.25,164.47,88.78,243.59,386.55,411.82,633.56,50.11,461.31,388.32,339.23,122.89,16.88,190.71,614.99
54,104.12,,50.21,301.69,74.3,98.81,841.65,553.68,462.22,64.58,427.76,267.8,304.07,127.2,27.19,281.38,660.17
55,35.79,,85.35,226.97,195.58,130.57,445.43,552.17,709.17,55.41,188.14,180.92,280.17,53.81,19.73,208.96,642.36
56,92.77,,63.87,102.42,265.89,89.91,611.52,394.15,232.98,68.75,239.51,271.21,340.1,37.81,36.37,260.38,663.33
57,63.41,,63.56,135.27,292.93,111.34,478.19,397.46,569.79,35.4,444.59,465.05,311.22,95.83,30.71,237.77,632.38
58,126.33,,118.75,276.33,96.28,117.49,857.06,626.77,415.94,94.48,388.37,333.01,330.59,80.78,24.31,305.45,666.22
59,35.33,,63.67,190.01,131.4,88.03,682.33,409.99,589.3,41.07,167.23,454.97,293.97,41.71,52.58,150.02,681.37
60,87.43,,80.52,90.64,372.67,138.87,847.02,326.08,306.99,123.39,287.21,398.2,376.58,7.25,6.17,245.47,582.88
61,58.08,,67.99,104.71,116.75,298.22,762.61,244.1,540.4,98.01,314.65,289.18,329.92,23.83,7.34,233.56,615.95
62,11.43,,57.66,302.25,120.39,128.61,905.42,580.77,761.15,104.8,119.01,383.51,318.84,10.4,18.69,280.03,728.6
