Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,0.3,,56.49,10,5046.7,21.1,214.1,136.3,97.3,208.5,101.4,1863.9,969.2,11.7,161.5,294,85.6
2,2.2,,9.4,21.8,4237.1,24.5,307.6,85.7,214.88,324.2,138.35,2032.3,443,15.91,107.9,333.9,69.9
3,,,28.34,15,2494.5,112.3,62.4,124.1,322.76,425.4,95.23,1632.8,3896.8,14.6,70.4,685.8,23.1
4,,,91.02,77.9,4869,1015.5,79.7,107.4,119.16,760,31.62,1574.4,849.5,98.2,206.4,220,25.2
5,0.2,,60.44,27.5,4430,18.9,236.5,150.1,79.08,290.6,100.05,1987.9,1101.8,15.4,88.7,246.5,107.7
6,2.1,,14.11,30.48,4776.7,23.2,317.2,81.9,211.2,285.4,137.3,1928.5,490.5,14.23,124,192,70.6
7,1.7,,246.34,18.7,2782.5,109.7,74.1,132.5,279.8,446.5,98.2,1090.5,3683.6,2.81,155.9,668.4,20.3
8,,,110.49,63.6,5580.1,1024.3,78.8,114.2,261.43,740.8,33.05,1396.5,886.1,97.92,172.4,241.9,23.2
9,0.2,,109.03,27.9,4773.1,17.7,199.4,130.1,88,592.8,100.3,1850.4,2076,10.1,19.2,254.09,96.1
10,3,,12.03,31.81,5252.5,25.62,336.35,97.31,194.89,262.61,226.97,1751.44,592.26,10.95,8.58,172.32,66.61
11,1.77,,224.11,17.34,2950.82,67.78,79.09,172.97,300.65,266.03,99.96,998.31,3857.1,4.09,219.55,615.84,25.15
12,1.11,,126.75,69.91,6025.42,994.42,83.16,131.14,231.7,688.47,35.04,1059.9,880.75,4.7,55.06,230.34,19.95
13,0.19,,92.19,25.71,5188.31,15.02,212.38,121.09,104.71,891.82,105.32,1519.62,2374.25,7.42,73.24,251.33,100.16
14,2.73,,21.94,35.07,8561.26,26.28,351.4,123.2,205.17,206.62,235.27,1750.46,724.16,3.25,135.68,186.97,69.83
15,1.81,,318.51,18.04,3266.56,97.97,58.41,216.44,236.74,696.64,98.66,1129.16,4032.57,30.61,85.51,451.41,28.87
16,0.96,,118.07,21.96,6409.57,59.25,73.42,313.77,1464.52,372.15,37.63,972.92,752.04,2.76,25.49,341.67,23.25
17,0.18,,315.43,26.83,5270.36,13.3,230.97,139.63,133.4,819.42,109.91,1480.97,2434.89,2.14,38.82,235.22,105.58
18,2.55,,14.01,33.51,8898.62,23.93,346.52,143.14,339.62,121.91,243.06,2698.92,841.36,2.21,18.44,165.66,73.83
19,,,257.05,18.27,3296.82,101.23,57.27,213.09,271.94,458.74,97.05,1127.62,4701.3,29.54,0.07,144.23,30.75
20,,,239.26,7.64,6769.32,70.59,67.96,513.76,1482.63,390.32,31.92,1363.4,758.5,2.56,0.06,222.21,28.11
21,,,276.64,22.86,4910.59,14.73,187.7,160.02,86.26,611.93,101.33,1577.83,2170.05,2.09,1.32,170.79,106.77
22,2.8,,14.45,26.71,9716.64,21.37,275.55,165.22,212.62,291.98,181.41,3673.52,861.59,3.42,0.29,123.93,79.4
23,,,309.94,17.68,3158.13,126.36,72.7,251.49,289.93,157.88,72.24,977.77,4614.92,27.03,11.06,137.15,34.33
24,,,258.93,6.91,6980.41,75.14,71.25,579.5,1490.51,290.56,37.3,1051.77,883.77,2.89,0.07,219.85,31.28
25,,,344.8,16.39,4700.27,10.11,218.48,168.26,90.37,264.93,43.61,1157.6,2326.3,2.24,2.65,140.2,120.69
26,,,17.85,30.03,10351.85,2.93,289.06,176.33,243.1,240.39,165.73,3286.72,1162.92,3.42,0.15,102.68,79.52
27,,,324.41,17.33,3249.95,47.79,74.87,267.29,307.54,214.84,72.26,950.87,4254.09,24.72,6.95,146.53,40.31
28,,,265.88,6.57,6708.08,20.06,75.26,665.38,1356.35,337.34,36.48,1266.71,935.6,4.43,15.07,150.12,33
