Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,66.99,759.2,2315.96,1895.83,19281.5,15120.9,261.18,2018.85,264.01,52.44,193.78,343.9,496.4,225.21,4341.8,337.78,1560.05
2,12.96,439.05,1475.9,2039.29,25338.51,13436.3,243.09,2824.57,334.83,45.31,199.16,407.26,501.31,195.85,3469.4,251.28,1922.8
3,181.15,437.43,471.56,1815.53,9059.83,17171.11,252.35,2084.84,368.47,48.97,151.41,459.57,370.24,215.36,3385.56,211.19,1429.22
4,231.72,836.75,1619.29,3231.51,20891.39,16761.65,189.09,2253.45,355.72,47.07,178.11,572.59,380.61,219.84,5130.41,320.75,1503.87
5,64.14,970.05,3244.41,2522.96,43279.18,17695.25,233.62,2199.89,294.45,50.95,210.61,400.26,530.92,250.44,4819.33,339.58,2063.18
6,20.49,608.01,1634.12,3055.31,27335.55,13894.36,225.8,3055.35,364.72,77.49,217.86,625.07,556.9,220.06,3929.81,299.01,1805.99
7,157.24,536.64,641.83,2881.62,10237.19,22393.33,247.85,2537.56,386.96,62.27,196.2,452.98,372.66,257.68,3571.93,230.81,2306.77
8,146.82,937.98,2001.26,3161.01,22905.43,15631.93,193.8,2495.54,388.87,80.38,192.48,623.1,415.69,201.6,5210.56,355.14,2266.63
9,49.47,1042.5,2974.44,2306.19,50084.07,23487.33,226.89,2539.37,290.5,74.89,387.04,453.59,620.81,193.13,4750.11,353.05,1657.43
10,23.6,704.19,1546.69,3388.5,30793.78,15239.46,239.73,3549.27,355.25,77.38,252.22,708.41,734.94,338.44,4471.15,366.4,1762.46
11,185.19,590.84,571.19,3729.03,11260.92,29333.52,274.18,3049.4,406.1,84.89,198.86,352.2,424.28,331.47,3790.35,293.06,2599.66
12,202.49,1060.09,2223.51,4023.93,25664.15,18323.17,203.54,3250.32,403,70.57,192.94,604.48,460.79,193.83,5462.12,396.41,2566.13
13,68.36,1097.3,3577.36,2985.79,56951.27,26653.88,225.98,2625.48,380.18,80.4,417.95,482.75,795.29,217.41,4680.43,359.45,1744.58
14,15.85,760.48,1812.65,4040.1,31271.87,17159.14,252.33,4184.23,445.93,96.69,248.42,736.87,514.47,329.91,4235.9,355.58,2025.01
15,209.53,684.38,556.84,3995.39,11471.98,30574.94,280.47,3389.29,492.31,96.61,228.49,321.88,671.93,256.07,4296.5,347.16,2887.85
16,207.35,1101.05,1698.09,3961.21,27349.46,18160.06,206.12,3453.21,729.75,90.12,203.07,625.64,688.64,179.93,5108.13,364.25,3095.49
17,60.54,1131.42,3894.32,3220.61,57430.41,27095.4,257.36,2999.67,439.95,97.63,464.98,502.85,846.08,238.17,5664.76,395.6,1786.59
18,16.53,800.66,1828.57,4382.9,32818.79,18690.92,271.62,4413.59,532.62,101.14,89.23,1227.14,630.88,236.31,4375.17,309.34,2051.66
19,240.16,697.74,544.84,4538.01,11574.48,31970.67,257.53,3705.47,498.37,111.7,154.05,371.46,846.11,315.75,4326.01,323.17,3008.76
20,18.86,1111.63,831.05,3421.09,26338.71,17297.28,229.27,1650.38,520.63,109.49,114.49,455.28,827.53,202.31,5278.63,346.46,2833.19
21,15.41,904.86,4134.63,3622,54554.95,27379.76,218.79,2803.37,286.12,107.18,457.82,566.58,1208.52,252.08,5108.97,308.06,1862.43
22,14.26,635.68,4481.99,3110.46,30961.63,19842.74,226.16,4523.24,280.36,78.32,128.02,688.95,907.93,388.61,4372.14,296.72,2076.34
23,175.64,596.6,581.56,3135.11,10556.35,29825.13,290.09,3542.39,382.04,89.4,162.05,463.33,740.85,453.86,4285.81,307.65,3044.73
24,284.74,917.62,998.77,3580.25,27853.31,21277.96,235.7,1624.44,536.04,137.03,165.1,463.43,989.99,363.68,5487.87,421.73,2960.18
25,215.95,916.47,5073.83,2947.61,50695.05,27884.23,263.9,2703.27,325.68,88.53,369.78,591.58,975.1,206.9,5664.38,377.36,1906.37
26,16.15,717.46,4274.79,4316.3,32049.79,18691.34,240.8,4562.95,344.81,83.11,136.55,750.99,816.19,385.07,4553.7,349.02,1733.65
27,185.17,647.28,488.61,4078.31,11070.73,27682.73,291.89,3570.37,472.14,123.27,170.46,302.1,672.54,911.45,4381.32,305.63,3006.21
28,286.68,851.5,984.53,4194.77,26859.61,22831.12,246.75,1805.43,620.67,139.01,116.54,364.39,727.87,364.68,5837.82,360.87,2988.65
29,268.82,913.94,4695.05,3083.4,48802.46,29905.7,273.99,2719.27,313.42,125.55,193.74,409.23,1152.88,297.77,5833.04,353.08,1934.72
30,27.98,732.09,4634.22,4169.95,31704.53,20162.18,239.81,4556.76,546.6,90.64,101.38,382.05,765.01,1172.69,4739.97,368.52,1769.45
31,178,677.1,535.28,4840.27,10867.9,25888.8,312.47,3880.28,417.98,113.73,167.41,299.03,751.81,946.77,4111.49,364.79,3398.83
32,325.49,875.87,1034.97,4522.3,28715.75,23988.03,270.99,2052.27,830.39,81.36,110.46,342.52,693.56,451.36,5045.12,332.27,3110.44
33,214,938.74,4733.97,3184.97,51389.41,31090.07,290.03,2945.86,308.3,84.16,220.25,412.7,766.66,358.61,5034.74,278.78,1953.27
34,25.09,732.82,5159.89,4203.61,32733.42,20120.81,238.85,4565.54,637.38,63.28,80.48,349.02,720.82,1309.75,4792.44,262.53,1723.3
35,188.68,698.58,450.83,4168.51,10566.51,27871.78,313.03,3802.1,466.19,83.56,219.31,283.56,967.37,911.19,4132.2,332.45,3445.43
36,351.95,896.1,1022.81,4669.02,29691.34,25131.2,242.3,2078.65,925,74.06,99.84,396.5,918.58,263.92,4189.98,336.24,5644.17
