Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,2423.6,,89.45,991.23,127.56,2192.39,1752.73,2004.34,742.24,3332.96,1654.11,8609.93,2058.2,376.79,9297.05,3791.96,5070.28
2,4233.56,,99.27,684.03,225.46,2139.36,4065.93,2448.43,987.09,3586.27,2136.08,6455.34,4500.03,272.65,9176.51,2105.16,3552.5
3,1780.48,,25.35,581.4,254.83,1088.72,3013.63,1915,445.35,5031.77,1284.3,4561.96,2346.42,466.85,17232.99,1263.33,3406.08
4,1068.23,,180.87,274.4,253.65,929.71,3731.92,1526.34,832.85,5658.49,1476.6,4528.01,854.09,759.29,10982.02,1754.29,3267.83
5,2167.4,,93.84,1095.02,198.05,2101.04,2929.15,1884.86,862.96,4969.53,1938.52,7188.08,1444.64,537.87,7163.9,3223.4,4839.77
6,2794.48,,184.76,1434.35,220.81,4079.59,6652.33,2390.33,942.42,2733.17,2336.65,9766.63,4376.29,381.65,10050.51,1929.28,4970.52
7,819.64,,29.78,1140.76,406.51,1309.51,4336.51,2329,462.01,2986.96,1261.89,3978.03,2158.92,334.2,13693.07,1007.78,2952.14
8,1035.79,,52.5,319.34,237.19,626.16,3825.86,1531.66,824.04,2720.69,1595.36,3699.05,903.19,452.36,14600.98,1821.25,4014.03
9,3280.95,,76.62,1133.39,315.36,4149.35,2808.42,1930.47,870.44,5312.27,2369.53,12148.18,3362.39,763.58,9714.02,2791.86,4755.21
10,3041.39,,107.47,1476.64,403.96,4727.88,6771.05,2945.12,901.15,4993.58,2716.78,8193.11,4262.97,898.42,12827.72,1959.65,5169.6
11,755.8,,37.98,1180.5,346.89,1940.63,4393.75,2910.96,410.13,2433.64,1495.43,4665.61,2600.09,525.08,10720.29,1721.25,3638.12
12,405.67,,111.03,340.61,271.17,1159.44,2707.07,1996.05,507.47,2985.74,1552.02,3211.74,828.48,362.49,12017.25,1965.15,4096.05
13,996.18,,36.05,981.14,205.53,4094.64,2460.04,1926.43,1088.05,3385.36,3115,8528.54,3470.59,724.72,4377.79,1373.19,5204.16
14,2548.91,,103.53,506.74,540.94,5320.84,7553.93,3016.02,774.2,3451.68,3350.42,7321.59,4046.46,467.41,3859.1,2061.71,5229.35
15,556.91,,24.3,1016.77,232.6,3023.93,5608.73,2620.33,489.17,2075.82,1956.5,5225.52,2611.65,573.49,4338.57,1258.75,4069.87
16,346.84,,35.12,480,216.8,2189.16,4190.51,2088.1,464.05,2180.3,1444.62,5284.73,647.56,481.23,2660.34,1309.87,4518.84
17,1477.48,,47.88,1004.02,480.21,5436.35,3081.67,1844.8,1052.38,2663.88,3529.39,6527.71,3551.94,664.51,2868.41,970.06,5704.92
