Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,285.1,,23.03,185.42,139.42,508.38,1056.31,6946.09,2763.37,3054.73,1176.3,2127.85,180.02,271.95,197.96,367.33,843.74
2,66.92,,41.43,170.99,164.15,283.28,2023.88,9058,3048.95,2096.22,933.03,6499.41,144.61,541.71,460.65,381.3,702.05
3,243.84,,44.64,108.95,441.16,218.07,2858.45,3354,2680.77,1995.7,533.75,4023.45,116.37,136.42,635.82,305.4,949.48
4,66.27,,65.43,79.63,254.48,291.21,2868.43,4202.01,3558.75,1915.3,1137.2,2124.34,115.57,658.31,384.74,318.18,738.56
5,377.48,,31.1,204.73,156.03,328.3,2149.46,6099.83,3201.92,2098.69,1349.97,1621.08,185.64,132.19,62.45,331.84,833.22
6,338.87,,34.6,157.17,224.36,261.29,4038.94,7472.01,2952.04,2857.64,1551.91,5730.82,214.54,91.75,60.24,345,1280.55
7,419.61,,43.97,78.6,445.46,182.68,3907.78,4454,2300.8,1651.24,729.4,2926.06,292.8,42.07,22.4,373.12,1515.09
8,489.25,,136.41,65.17,242.33,329.18,3132.98,5081.79,3918.75,1909.2,1496.17,2265.15,112.26,736.78,798.11,392.01,1898.65
9,327.4,,33.36,202.92,163.76,390.17,1941.6,7553.75,4773.87,2415.89,1935.1,2250,359.19,292.23,72.96,338.57,1419.31
10,150.54,,56.35,194.01,227.8,715.51,3842.62,7308.11,4062.99,2932.05,2297.32,5842.95,401.86,157.12,3.33,292,1379.63
11,83.64,,50.79,91.2,478.74,961.31,3940.41,3091.07,3030.01,1707.05,1233.43,3455.97,327.79,186.84,263.4,314.73,1392.71
12,79.5,,41.81,74.84,245.58,798.22,2614.54,7311.4,4536.59,2517.01,1736.8,2725.55,190.03,221.2,205.92,243.99,1924.36
13,93.44,,50.75,164.71,199.95,1235.84,1105.23,7908.65,4446.78,2292.71,1507.96,11039.01,391.08,206.08,162.06,789.33,1443.96
14,93.76,,70.26,161.32,247.62,1437.25,3507.52,12533.92,4611.85,2614.72,2997.44,12758.63,445.08,104.26,2.98,407.99,1411.11
15,126.74,,48.61,106.87,450.48,1500.14,1443.21,5741.96,3067.99,1651.52,1475.1,6102.46,306.65,97.45,19.47,395.73,1617.91
16,49.71,,37.11,164.63,373.89,1085.17,3305.76,6353.58,4528.82,2278.17,1390.08,5110.59,151.61,135.39,18.15,362.54,1945.26
17,22.15,,41.66,233.75,445.5,1552.83,1578.37,13381.45,4932.18,2346.21,1920.75,6314.29,610.69,156.14,18.28,913.63,1434.14
18,58.8,,22.23,218.29,133.14,1323,2984.25,10244.07,7872,2779.86,2444.17,7372.34,393.64,72.6,6.5,281.87,2107.67
19,111.23,,13.31,111.1,149.97,1054.84,1212.67,5630.7,3711.45,1459.08,1268.25,16137.57,680.1,53.54,9.11,322.51,1646.73
20,31.87,,22.03,141.18,45.13,1657.02,2868.57,7235.47,3706.13,1410.65,1107.45,8968.05,97.63,108.39,46.13,285.6,2044.6
21,44.96,,12.17,214.54,126.64,644.78,1671.61,12206.91,4415.57,1780.74,1524.57,5895.58,1359.88,197.78,80.66,500.03,1443.83
22,17.7,,13.34,316,96.85,2390.37,1943.85,8849.77,5509.95,1733.7,1944.77,4383.26,999.9,97.73,85.99,366.74,2226.83
23,97.09,,7.91,121.65,108.04,1691.15,1420.46,4570.87,4881.92,1424.59,1533.09,3895.44,720.63,113.58,12.31,321.94,1760.57
24,223.71,,11.67,128.23,59.18,839.76,2233.12,5660.96,4107.85,1421.72,1023.99,3751.02,67.45,117.92,79.01,358.68,2152.95
25,120.94,,20.34,219.8,134.08,601.69,1530.69,8688.61,4174.45,1636.29,1472.48,4202.5,1550.54,140.47,27.39,459.11,1480.49
26,182.71,,29.95,319.2,112.19,1389.54,2595.99,8576.22,4946.13,1975.84,1685.78,4130.55,1074.92,64.48,38.37,425.19,2320.08
