Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
1,,15.58,17.34,50,301.1,158.75,13.2,47.3,64.46,5.96,22.5,235.8,10.6,0.51,22.53,81,578.73
2,,9.59,13.34,70,209.8,211.62,34.72,42.03,72.07,2.45,33.08,224.95,25.42,0.06,32.68,75.1,551.37
3,,11.5,75.17,61.5,287.4,150.65,29,56.39,98.55,6.8,31.35,248.39,130.08,0.27,27.99,66.03,472.22
4,,12,27.87,45.7,182.3,177.43,35.7,58.56,238.13,9.98,31.85,241.86,130.36,0.42,29.11,49.9,615.4
5,,18.2,37.02,55.5,56.47,178.91,15.79,60.66,61.69,15.56,33.85,245.06,21.6,0.46,61.4,93.7,609.15
6,,12.5,25.73,94.85,182.55,231.62,22.39,40.33,60.64,12.93,29.6,276.03,19.29,0.33,67.67,91.32,544.93
7,,12.96,100.39,69.75,259.43,192.43,25.95,67.66,58.48,12.06,34.6,214.34,104.71,0.11,35.2,63.11,589.06
8,,18.43,36.77,47.19,198.94,214.69,31.54,67.27,120.13,8.5,31.5,220.86,12.8,0.07,31.02,67.35,658.28
9,,15.65,18.42,90.34,102.6,196.54,16.45,63.75,64.61,9.63,36.29,285.75,29.49,0.65,52.84,121.52,539.56
10,,11.64,16.84,103.54,382.73,230.15,20.6,51.31,47.14,7.65,35.25,272.44,20.02,3.11,66.72,90.57,534.25
11,,14,71.03,181.05,450.88,229.11,22.94,86.71,59.95,5.67,36.4,182.5,121.89,12.58,50.97,79.91,600.98
12,,19.86,20.5,62.62,252,276.6,21.92,71.87,132.37,4.36,34.13,257.73,92.63,12.58,37.86,69.46,637.7
13,,15.27,134.51,116.89,261.52,202.38,22.04,70.52,99.62,5.74,32.76,262.5,28.74,9.57,48.12,119.63,570.96
14,,11.93,11.31,118.33,122.66,235.99,27.04,74.04,58.83,7.88,36.76,277.61,18.35,9.31,73.53,89.92,539.92
15,,13.39,20.84,286.15,517.65,290.39,23.28,104,76.99,9.47,38.3,167.07,57.24,10.35,69.12,85.91,646.23
16,,18.82,24.28,71.92,274.1,201.6,22.4,74.84,140.48,10.92,13.59,264.26,45.66,13,42.77,64.72,649.64
17,,14.34,89.62,149.36,274.08,158.28,24.63,74.36,91.25,14.07,33.03,270.37,19.22,8.03,75.66,111.3,574.63
18,,11.84,11.3,131.39,131.23,179.37,27.73,72.56,81.06,7,17.06,290.55,29.22,12.17,74.77,111.69,559.71
19,,13.63,17.17,296.02,516.53,177.24,23.28,109.57,88.63,6.99,12.2,183.92,25.12,10.45,74.43,77.03,648.91
20,,16.98,30.36,84.09,290.8,186.33,26.72,82.09,122.85,7.26,5,415.47,50.94,12.12,41.36,64.92,690.94
21,,14.68,27.63,167.63,210.01,201.16,24.43,64.12,45.56,6.5,15.03,274.61,33.05,9.02,41.93,90.5,609.48
22,,12.61,13.02,136.09,92.98,171.69,22.93,63.25,37.82,5.25,19.8,437.51,36.87,11.16,65.31,107.85,560.25
23,,12.99,19.84,259.01,419.87,182.52,24.81,107.21,77.64,5.55,16.2,187.52,34.44,11.36,69.78,68.32,669.59
24,,13.69,42.34,102.13,288.53,185.48,27.87,82.79,95.23,8.4,16.88,155.74,83.91,9.78,40,73.81,689.52
25,,12.5,19.55,181.11,208.86,199.7,25.23,53.36,82.28,5.96,12.07,341.5,65.28,8.19,44.84,114.7,618.58
26,,12.08,16.37,158,94.35,157.35,23.47,58.97,65.88,4.92,14.01,183.66,35.02,10.12,61.79,106.89,552.69
27,,13.82,20.36,271.71,430.88,179.8,23.74,104.48,112.34,7.61,20.03,237.45,41.73,9.22,66.36,62.91,655.17
